FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,8.03613e+08,1.03609e+07
0,0.1,1,2.05106e+09,4.71322e+07
0,1,10,5.74033e+08,2.5961e+08
0,10,100,1.60703e+07,5.33392e+07
0,100,1000,135722,1.09529e+07
0,1000,10000,110269,2.78841e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,9.5455e+07,3.50128e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,7.77096e+06,853871
2,1,10,1.0434e+08,3.07048e+07
2,10,100,1.44527e+07,1.1871e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,6.02892e+11,4.5332e+08
3,0.01,0.1,1.9703e+09,5.08216e+06
3,0.1,1,5078.73,209.28
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.39235e+08,4.80383e+06
4,0.1,1,1.00212e+07,675210
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,3.34375e+10,2.73635e+07
5,0.01,0.1,2.05256e+08,2.56229e+06
5,0.1,1,1.26369e+07,359962
5,1,10,2.21922e+06,4.64575e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.3636e+07,472065
6,0.1,1,1.7163e+07,856718
6,1,10,1.21682e+07,5.40556e+07
6,10,100,1.8376e+07,1.14785e+08
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.5336e+08,1.60505e+06
7,1,10,7.11031e+06,1.04057e+07
7,10,100,4.90598e+07,7.54763e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.8646e+07,355222
8,0.1,1,1.87034e+06,336613
8,1,10,1.09865e+07,5.04876e+07
8,10,100,2.10558e+07,6.2339e+07
8,100,1000,0,0
8,1000,10000,0,0
