FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,6.33611e+06,1.30455e+06
0,0.1,1,2.39832e+07,1.42832e+07
0,1,10,2.98022e+07,2.28278e+08
0,10,100,5.33232e+06,8.31332e+07
0,100,1000,250798,1.51491e+07
0,1000,10000,120589,2.44677e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.54857e+07,5.78971e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,270067,334783
2,1,10,8.74763e+06,2.45968e+07
2,10,100,1.73646e+07,1.14118e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,8.84577e+09,9.67535e+07
3,0.01,0.1,3.81625e+07,2.03891e+06
3,0.1,1,130.836,126.364
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.34557e+06,382694
4,0.1,1,880366,584265
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,3.91587e+08,8.50585e+06
5,0.01,0.1,5.27419e+06,703594
5,0.1,1,320088,162875
5,1,10,2.66047e+06,4.00994e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.45109e+06,215569
6,0.1,1,2.20173e+06,535324
6,1,10,1.1765e+07,4.62042e+07
6,10,100,2.22865e+07,1.08546e+08
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,2.47037e+06,832158
7,1,10,8.80124e+06,7.73863e+06
7,10,100,3.00974e+06,6.40398e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,238512,82622.8
8,0.1,1,221541,190495
8,1,10,1.22732e+07,4.4214e+07
8,10,100,2.23632e+07,5.4251e+07
8,100,1000,0,0
8,1000,10000,0,0
