FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.67726e+06,73572.1
0,0.1,1,1.00609e+08,3.23973e+06
0,1,10,1.48098e+08,3.16884e+08
0,10,100,3.43457e+07,1.45061e+08
0,100,1000,2.73236e+06,6.02149e+07
0,1000,10000,144118,1.57045e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.05091e+07,3.57143e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,550276,280990
2,1,10,6.20054e+07,7.64538e+07
2,10,100,3.86409e+07,1.43366e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,4.15422e+08,1.15825e+06
3,0.01,0.1,3.94373e+07,181989
3,0.1,1,235.674,59.9284
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.58018e+06,19990.1
4,0.1,1,1.29418e+06,23311.4
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.85663e+08,778783
5,0.01,0.1,1.01729e+07,106467
5,0.1,1,590550,91814
5,1,10,3.9724e+06,2.42045e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,203682,16253.3
6,0.1,1,558166,167302
6,1,10,5.71815e+07,8.87175e+07
6,10,100,7.95242e+07,1.35386e+08
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,29571.7,75.3376
7,0.1,1,2.86266e+06,34358.4
7,1,10,4.87045e+07,4.0048e+07
7,10,100,2.03173e+07,1.14652e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,566084,30474.5
8,0.1,1,351693,106830
8,1,10,2.12958e+07,3.92184e+07
8,10,100,7.76071e+07,8.32336e+07
8,100,1000,0,0
8,1000,10000,0,0
