PatchID,XCOORD,YCOORD,ID,MID,FID,sex,age,size,mature,newmature,layeggs,capture,recapture,state,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1,L2A0,L2A1,L3A0,L3A1,L4A0,L4A1,L5A0,L5A1,L6A0,L6A1,L7A0,L7A1,L8A0,L8A1,L9A0,L9A1,L10A0,L10A1,L11A0,L11A1,L12A0,L12A1,L13A0,L13A1,L14A0,L14A1,L15A0,L15A1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO6,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO101,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.346435546875,1,P0_CV0,1,0,2,1,1,0,2,1,1,0,2,0,2,1,1,2,0,1,1,0,2,2,0,1,1,1,1,1,1,1,1,0,2
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO7,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO101,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.346435546875,1,P0_CV0,1,0,2,1,1,1,1,2,0,0,2,0,2,1,1,2,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO8,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO101,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.346435546875,1,P0_CV0,1,0,2,1,1,0,2,1,1,0,2,0,2,2,0,2,0,1,1,2,0,1,1,2,0,0,2,1,1,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO34,R1_F1_m1f1_P1_Y18_UO123,R1_F1_m1f1_P1_Y18_UO101,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,0.387939453125,1,P0_CV0,1,0,2,0,2,2,0,1,1,0,2,1,1,2,0,2,0,2,0,1,1,2,0,1,1,0,2,0,2,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO35,R1_F1_m1f1_P1_Y18_UO123,R1_F1_m1f1_P1_Y18_UO101,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,0.387939453125,1,P0_CV0,1,0,2,0,2,1,1,2,0,0,2,1,1,2,0,2,0,2,0,0,2,2,0,2,0,1,1,0,2,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO1,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO101,MXY,2,31.0,1,0,0.0,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,2,1,1,0,2,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO2,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO101,FXX,2,31.0,1,0,2.211,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,1,1,2,0,1,1,0,2,1,1,1,1,1,1,2,0,2,0,1,1,1,1,0,2,1,1,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO85,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO98,MXY,2,31.0,1,0,0.0,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,1,1,2,0,0,2,1,1,1,1,2,0,1,1,0,2,2,0,1,1,0,2,1,1,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO86,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO98,MXY,2,31.0,1,0,0.0,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,1,1,2,0,1,1,2,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO88,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO98,FXX,2,31.0,1,0,1.107,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,0,2,2,0,0,2,1,1,1,1,1,1,1,1,2,0,1,1,1,1,0,2,1,1,0,2,1,1
1,12200.0,8000.0,RD1_F1_m1f1_P1_Y20_UO89,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO98,MXY,2,31.0,1,0,0.0,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,1,1,2,0,1,1,2,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO91,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO98,FXX,2,31.0,1,0,0.0,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,1,1,2,0,0,2,2,0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,0,2,0,2,2,0
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO93,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO98,MXY,2,31.0,1,0,0.0,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,0,2,2,0,1,1,1,1,1,1,2,0,1,1,1,1,2,0,1,1,0,2,0,2,0,2,2,0
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO94,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO98,FXX,2,31.0,1,0,0.0,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,0,2,2,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,2,1,1,0,2,2,0
1,12200.0,8000.0,R1_F1_m1f1_P1_Y20_UO96,R1_F1_m2f2_P2_Y15_UO34,R1_F1_m1f1_P1_Y18_UO98,FXX,2,31.0,1,0,0.0,0,0,0,-9999.0,0.391357421875,1,P0_CV0,1,1,1,1,1,0,2,2,0,2,0,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y18_UO101,R1_F1_m1f1_P1_Y16_UO164,R1_F1_m1f1_P1_Y16_UO37,MXY,4,31.0,1,0,0.0,0,0,0,-9999.0,0.38232421875,1,P0_CV0,1,0,2,0,2,1,1,1,1,1,1,0,2,2,0,2,0,2,0,1,1,2,0,1,1,1,1,0,2,0,2,1,1
1,12200.0,8000.0,RD1_F1_m1f1_P1_Y21_UO4,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO101,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,0.346435546875,1,P1_CV0,1,0,2,1,1,1,1,0,2,1,1,0,2,2,0,2,0,1,1,0,2,2,0,2,0,0,2,1,1,1,1,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO5,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO101,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.346435546875,1,P1_CV0,1,0,2,1,1,1,1,1,1,1,1,0,2,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO9,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO101,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.346435546875,1,P1_CV0,1,0,2,1,1,1,1,1,1,2,0,0,2,1,1,2,0,1,1,1,1,1,1,2,0,1,1,1,1,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO98,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO74,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,0.3369140625,1,P1_CV0,1,0,2,1,1,0,2,0,2,0,2,1,1,1,1,2,0,1,1,2,0,2,0,1,1,0,2,1,1,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO99,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO74,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,0.3369140625,1,P1_CV0,1,0,2,1,1,0,2,1,1,1,1,0,2,1,1,2,0,1,1,1,1,2,0,2,0,0,2,1,1,1,1,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO100,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO74,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.3369140625,1,P1_CV0,1,0,2,1,1,0,2,1,1,1,1,0,2,1,1,2,0,1,1,2,0,2,0,2,0,0,2,1,1,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO101,R1_F1_m1f1_P1_Y16_UO107,R1_F1_m1f1_P1_Y18_UO74,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.3369140625,1,P1_CV0,1,0,2,1,1,0,2,0,2,1,1,0,2,0,2,2,0,1,1,0,2,2,0,1,1,0,2,1,1,1,1,2,0
1,12200.0,8000.0,RD1_F2_m2f2_P2_Y21_UO82,R2_F2_m2f2_P2_Y19_UO14,R2_F2_m2f2_P2_Y19_UO0,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.4365234375,1,P1_CV0,1,0,2,2,0,1,1,1,1,2,0,0,2,1,1,0,2,2,0,2,0,1,1,1,1,2,0,1,1,2,0,0,2
1,12200.0,8000.0,R1_F1_m3f3_P3_Y19_UO40,R3_F3_m3f3_P3_Y17_UO6,R3_F3_m3f3_P3_Y16_UO94,FXX,3,31.0,1,0,0.0,0,0,0,-9999.0,0.36279296875,1,P2_CV0,1,0,2,2,0,1,1,0,2,1,1,1,1,1,1,1,1,2,0,2,0,2,0,1,1,1,1,0,2,1,1,0,2
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO17,R1_F1_m1f1_P1_Y18_UO123,R1_F1_m1f1_P1_Y19_UO90,MXY,1,31.0,0,0,0.0,0,0,0,-9999.0,0.39111328125,1,P3_CV0,1,0,2,1,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,2,0,2,0,2,0,2,1,1
1,12200.0,8000.0,R1_F1_m1f1_P1_Y21_UO18,R1_F1_m1f1_P1_Y18_UO123,R1_F1_m1f1_P1_Y19_UO90,FXX,1,31.0,0,0,0.0,0,0,0,-9999.0,0.39111328125,1,P3_CV0,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,2,0,2,0,2,0,2,1,1
