Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,51|30|20|13|4|2|,31.0|52.7733|92.0|121.19623076923078|145.52425|171.72050000000002|,0.0|5.4554934524752206|0.0|9.189690612971154|11.290611417788673|2.473499999999987|,31.0|53.0|92.0|123.0|147.0|184.0|,51|30|20|13|4|2|,31.0|52.7733|92.0|121.19623076923078|145.52425|171.72050000000002|,0.0|5.4554934524752206|0.0|9.189690612971154|11.290611417788673|2.473499999999987|,0|51|30|20|13|6|,0|0|0|0|0|0|,259|51|30|20|13|6|,134|0|5|8|9|3|,125|51|25|12|4|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,125|51|25|12|4|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,125|51|25|12|4|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,125|51|25|12|4|0|,31.0|31.0|53.234840000000005|92.0|120.95150000000001|nan|,0.0|0.0|5.699349420275967|0.0|6.783058362567729|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,125|51|25|12|4|0|,31.0|31.0|53.234840000000005|92.0|120.95150000000001|nan|,0.0|0.0|5.699349420275967|0.0|6.783058362567729|nan|,0|125|51|25|12|4|,0|0|0|0|0|0|,278|125|51|25|12|4|,187|96|34|17|7|3|,92|29|17|8|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,92|29|17|8|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,92|29|17|8|5|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,92|29|17|8|5|0|,31.0|31.0|31.0|51.823375|92.0|nan|,0.0|0.0|0.0|5.131325972336486|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,92|29|17|8|5|0|,31.0|31.0|31.0|51.823375|92.0|nan|,0.0|0.0|0.0|5.131325972336486|0.0|nan|,0|92|29|17|8|5|,0|0|0|0|0|0|,149|92|29|17|8|5|,81|51|0|3|2|2|,68|41|29|14|6|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,68|41|29|14|6|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,68|41|29|14|6|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,68|41|29|14|6|0|,31.0|31.0|31.0|31.0|51.6565|nan|,0.0|0.0|0.0|0.0|5.5546446856062115|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,68|41|29|14|6|0|,31.0|31.0|31.0|31.0|51.6565|nan|,0.0|0.0|0.0|0.0|5.5546446856062115|nan|,0|68|41|29|14|6|,0|0|0|0|0|0|,227|68|41|29|14|6|,121|25|20|25|11|4|,105|43|21|4|3|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,105|43|21|4|3|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,105|43|21|4|3|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,105|43|21|4|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,105|43|21|4|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|105|43|21|4|3|,0|0|0|0|0|0|,156|105|43|21|4|3|,47|68|21|8|0|0|,112|37|22|13|4|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,112|37|22|13|4|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,112|37|22|13|4|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,112|37|22|13|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,112|37|22|13|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|112|37|22|13|4|,0|0|0|0|0|0|,169|112|37|22|13|4|,65|78|14|13|9|2|,102|34|23|9|4|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,102|34|23|9|4|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,102|34|23|9|4|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,102|34|23|9|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,102|34|23|9|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|102|34|23|9|4|,0|0|0|0|0|0|,224|102|34|23|9|4|,131|66|6|14|2|0|,93|36|28|9|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,93|36|28|9|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,93|36|28|9|7|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,93|36|28|9|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,93|36|28|9|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|93|36|28|9|7|,0|0|0|0|0|0|,198|93|36|28|9|7|,102|52|9|21|4|6|,96|41|27|7|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,96|41|27|7|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,96|41|27|7|5|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,96|41|27|7|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,96|41|27|7|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|96|41|27|7|5|,0|0|0|0|0|0|,216|96|41|27|7|5|,125|55|17|21|0|2|,91|41|24|6|7|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,91|41|24|6|7|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,91|41|24|6|7|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,91|41|24|6|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,91|41|24|6|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|91|41|24|6|7|,0|0|0|0|0|0|,110|91|41|24|6|7|,21|50|19|14|0|6|,88|41|22|10|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,88|41|22|10|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,88|41|22|10|6|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
10,0|1|2|3|4|5|,88|41|22|10|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,88|41|22|10|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|88|41|22|10|6|,0|0|0|0|0|0|,232|88|41|22|10|6|,140|45|19|12|4|4|,95|43|22|10|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,95|43|22|10|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,95|43|22|10|6|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
11,0|1|2|3|4|5|,95|43|22|10|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,95|43|22|10|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|95|43|22|10|6|,0|0|0|0|0|0|,229|95|43|22|10|6|,134|56|22|13|5|3|,95|39|21|9|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,95|39|21|9|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,95|39|21|9|5|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
