Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,15|8|5|2|0|0|,31.0|51.700625|92.0|120.991|nan|nan|,0.0|4.582457826797208|0.0|2.3349999999999937|nan|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,15|8|5|2|0|0|,31.0|51.700625|92.0|120.991|nan|nan|,0.0|4.582457826797208|0.0|2.3349999999999937|nan|nan|,0|15|8|5|2|0|,0|0|0|0|0|0|,21|15|8|5|2|0|,0|0|0|0|0|0|,21|15|8|5|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,21|15|8|5|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,21|15|8|5|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,21|15|8|5|2|0|,31.0|31.0|51.700625|92.0|120.991|nan|,0.0|0.0|4.582457826797208|0.0|2.3349999999999937|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,21|15|8|5|2|0|,31.0|31.0|51.700625|92.0|120.991|nan|,0.0|0.0|4.582457826797208|0.0|2.3349999999999937|nan|,0|21|15|8|5|2|,0|0|0|0|0|0|,70|21|15|8|5|2|,31|0|7|4|4|1|,39|21|8|4|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,39|21|8|4|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,39|21|8|4|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,39|21|8|4|1|0|,31.0|31.0|31.0|51.53375|92.0|nan|,0.0|0.0|0.0|3.362959661890103|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,39|21|8|4|1|0|,31.0|31.0|31.0|51.53375|92.0|nan|,0.0|0.0|0.0|3.362959661890103|0.0|nan|,0|39|21|8|4|1|,0|0|0|0|0|0|,70|39|21|8|4|1|,34|25|16|4|2|0|,38|14|5|4|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,38|14|5|4|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,38|14|5|4|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,38|14|5|4|2|0|,31.0|31.0|31.0|31.0|52.4755|nan|,0.0|0.0|0.0|0.0|4.5595|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,38|14|5|4|2|0|,31.0|31.0|31.0|31.0|52.4755|nan|,0.0|0.0|0.0|0.0|4.5595|nan|,0|38|14|5|4|2|,0|0|0|0|0|0|,67|38|14|5|4|2|,31|24|4|0|2|1|,36|14|10|5|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,36|14|10|5|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,36|14|10|5|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,36|14|10|5|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,36|14|10|5|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|36|14|10|5|2|,0|0|0|0|0|0|,70|36|14|10|5|2|,33|21|4|8|4|1|,38|15|10|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,38|15|10|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,38|15|10|2|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,38|15|10|2|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,38|15|10|2|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|38|15|10|2|1|,0|0|0|0|0|0|,46|38|15|10|2|1|,1|24|6|7|0|0|,46|14|9|3|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,46|14|9|3|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,46|14|9|3|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,46|14|9|3|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,46|14|9|3|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|46|14|9|3|2|,0|0|0|0|0|0|,39|46|14|9|3|2|,0|37|6|6|0|1|,39|9|8|3|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,39|9|8|3|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,39|9|8|3|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,39|9|8|3|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,39|9|8|3|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|39|9|8|3|3|,0|0|0|0|0|0|,61|39|9|8|3|3|,18|21|0|4|0|3|,42|18|9|4|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,42|18|9|4|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,42|18|9|4|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,42|18|9|4|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,42|18|9|4|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|42|18|9|4|3|,0|0|0|0|0|0|,88|42|18|9|4|3|,53|29|11|6|1|3|,32|13|7|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,32|13|7|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,32|13|7|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,32|13|7|3|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,32|13|7|3|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|32|13|7|3|3|,0|0|0|0|0|0|,110|32|13|7|3|3|,77|15|2|1|0|3|,35|17|11|6|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,35|17|11|6|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,35|17|11|6|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
