FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,3.95042e+07,1.44256e+07
0,1,10,1.81148e+08,4.57495e+08
0,10,100,1.25672e+08,2.83573e+08
0,100,1000,151057,1.00021e+08
0,1000,10000,66439.3,8.00291e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,893.024,52715.6
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.09896e+07,7.49808e+06
2,1,10,1.47848e+08,1.57149e+08
2,10,100,2.12122e+06,4.70882e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,2.33228e+08,991340
3,0.1,1,2.53855e+07,1.74993e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,9.14831e+07,6.00396e+07
4,1,10,5.58465e+06,930905
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.14849e+08,459782
5,0.01,0.1,3.75194e+07,464895
5,0.1,1,3.03459e+07,1.55696e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.22771e+06,94917
6,0.1,1,1.66722e+07,1.42349e+07
6,1,10,3.35174e+07,3.10233e+07
6,10,100,8.84078e+06,3.24589e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,6.84051e+07,2.51272e+07
7,1,10,1.26388e+08,1.14526e+08
7,10,100,1.35339e+08,4.73106e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,5.90025e+06,1.68956e+06
8,1,10,2.14334e+07,9.34114e+06
8,10,100,1.8645e+06,1.44243e+07
8,100,1000,0,0
8,1000,10000,0,0
