FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,2.07434e+08,1.63201e+07
0,1,10,3.61513e+09,4.28348e+08
0,10,100,1.26556e+07,1.36515e+08
0,100,1000,241534,1.04918e+08
0,1000,10000,77191.5,6.53253e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1052.22,38276.9
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,3.60987e+08,2.61442e+07
2,1,10,9.23421e+08,3.20348e+08
2,10,100,1.65596e+06,1.63588e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,2.35297e+07,1.25772e+06
3,0.1,1,1.25235e+08,1.00553e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.15284e+06,12286.1
4,0.1,1,3.43269e+08,9.53495e+07
4,1,10,1.63471e+07,5.21101e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.46272e+07,7413.13
5,0.01,0.1,7.48273e+06,162823
5,0.1,1,2.34848e+08,2.90169e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.46818e+06,53488
6,0.1,1,3.22078e+07,2.25562e+07
6,1,10,1.30606e+07,2.91613e+07
6,10,100,3.64209e+06,2.05989e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,6.16824e+08,9.35392e+07
7,1,10,1.70734e+08,7.20675e+07
7,10,100,7.80352e+07,1.09941e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.04821e+08,7.63009e+06
8,1,10,8.69526e+07,2.2525e+07
8,10,100,452124,1.08931e+07
8,100,1000,0,0
8,1000,10000,0,0
