FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.46617e+09,9.21429e+07
0,1,10,1.60812e+08,3.33648e+08
0,10,100,8.78401e+07,1.42225e+08
0,100,1000,216064,1.17357e+08
0,1000,10000,70025.8,7.34034e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.08426e+06,2.94281e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.0802e+08,4.43057e+07
2,1,10,1.09376e+09,2.6382e+08
2,10,100,899842,2.85842e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,2.01481e+07,221281
3,0.1,1,6.62859e+07,2.40304e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,366466,5338.24
4,0.1,1,1.94485e+07,5.91474e+06
4,1,10,1.2819e+08,1.40656e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,289.984,0.174309
5,0.01,0.1,1.44992e+06,159491
5,0.1,1,1.09824e+08,4.00965e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.37293e+07,144099
6,0.1,1,1.70776e+07,1.58465e+06
6,1,10,9.61438e+07,4.76181e+07
6,10,100,2.87888e+06,1.77508e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,7.64489e+07,7.17371e+06
7,1,10,3.11973e+08,4.26804e+08
7,10,100,2.37199e+07,5.38809e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,2.902e+06,2.11036e+06
8,1,10,3.31387e+07,1.97323e+07
8,10,100,995857,5.81832e+06
8,100,1000,0,0
8,1000,10000,0,0
