Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,17|9|2|1|1|0|,31.0|53.02144444444445|92.0|130.595|147.771|nan|,0.0|5.277960109131201|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,17|9|2|1|1|0|,31.0|53.02144444444445|92.0|130.595|147.771|nan|,0.0|5.277960109131201|0.0|0.0|0.0|nan|,0|17|9|2|1|1|,0|0|0|0|0|0|,75|17|9|2|1|1|,7|0|0|0|0|0|,70|17|9|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,70|17|9|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,70|17|9|2|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,70|17|9|2|1|0|,31.0|31.0|53.02144444444445|92.0|130.595|nan|,0.0|0.0|5.277960109131201|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,70|17|9|2|1|0|,31.0|31.0|53.02144444444445|92.0|130.595|nan|,0.0|0.0|5.277960109131201|0.0|0.0|nan|,0|70|17|9|2|1|,0|0|0|0|0|0|,106|70|17|9|2|1|,73|63|8|5|0|0|,35|7|9|4|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,35|7|9|4|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,35|7|9|4|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,35|7|9|4|2|0|,31.0|31.0|31.0|50.621500000000005|92.0|nan|,0.0|0.0|0.0|4.560506139673533|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,35|7|9|4|2|0|,31.0|31.0|31.0|50.621500000000005|92.0|nan|,0.0|0.0|0.0|4.560506139673533|0.0|nan|,0|35|7|9|4|2|,0|0|0|0|0|0|,87|35|7|9|4|2|,49|15|0|6|2|1|,38|20|7|3|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,38|20|7|3|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,38|20|7|3|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,38|20|7|3|2|0|,31.0|31.0|31.0|31.0|52.0325|nan|,0.0|0.0|0.0|0.0|2.4544999999999995|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,38|20|7|3|2|0|,31.0|31.0|31.0|31.0|52.0325|nan|,0.0|0.0|0.0|0.0|2.4544999999999995|nan|,0|38|20|7|3|2|,0|0|0|0|0|0|,107|38|20|7|3|2|,75|25|14|2|0|1|,32|13|6|5|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,32|13|6|5|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,32|13|6|5|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,32|13|6|5|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,32|13|6|5|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|32|13|6|5|3|,0|0|0|0|0|0|,122|32|13|6|5|3|,89|15|2|0|3|3|,35|17|11|6|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,35|17|11|6|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,35|17|11|6|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,35|17|11|6|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,35|17|11|6|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|35|17|11|6|2|,0|0|0|0|0|0|,130|35|17|11|6|2|,98|19|9|9|5|1|,29|16|8|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,29|16|8|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,29|16|8|2|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,29|16|8|2|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,29|16|8|2|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|29|16|8|2|1|,0|0|0|0|0|0|,60|29|16|8|2|1|,21|10|8|3|0|0|,39|19|8|5|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,39|19|8|5|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,39|19|8|5|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,39|19|8|5|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,39|19|8|5|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|39|19|8|5|2|,0|0|0|0|0|0|,80|39|19|8|5|2|,46|25|13|4|4|1|,34|14|6|4|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,34|14|6|4|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,34|14|6|4|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,34|14|6|4|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,34|14|6|4|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|34|14|6|4|1|,0|0|0|0|0|0|,82|34|14|6|4|1|,48|18|4|0|2|0|,33|16|10|6|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,33|16|10|6|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,33|16|10|6|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,33|16|10|6|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,33|16|10|6|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|33|16|10|6|2|,0|0|0|0|0|0|,95|33|16|10|6|2|,61|17|8|8|5|1|,36|16|8|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,36|16|8|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,36|16|8|2|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
