FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,7.96478e+07,3.19627e+07
0,1,10,1.09199e+09,5.93453e+08
0,10,100,4.03605e+07,7.03849e+07
0,100,1000,216243,1.17789e+08
0,1000,10000,70033.6,7.35937e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,696871,1.83153e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,4.00567e+08,1.08588e+07
2,1,10,5.63776e+08,4.7047e+08
2,10,100,1.0895e+06,3.50367e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,6.18645e+07,623253
3,0.1,1,2.53837e+07,5.21755e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,2.57951e+06,451377
4,1,10,3.20047e+07,4.13046e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.56235e+08,122392
5,0.01,0.1,2.04118e+06,168389
5,0.1,1,1.84449e+07,5.2243e+06
5,1,10,9.6495e+06,1.35152e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.30795e+06,134682
6,0.1,1,2.66485e+07,2.34658e+06
6,1,10,8.33214e+07,4.48207e+07
6,10,100,2.98962e+06,1.93184e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,8.35113e+07,1.71214e+07
7,1,10,2.59554e+08,1.02192e+08
7,10,100,6.6936e+07,1.13464e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,6.91098e+07,6.14263e+06
8,1,10,2.78082e+07,2.45706e+07
8,10,100,1.68894e+06,8.95653e+06
8,100,1000,0,0
8,1000,10000,0,0
