job_id	R42_J19_SAPIENT_200KA_TO_0_SLIM
engine	SLiM
runtime_steps	60
runtime_unit	generations
replicate_count	4
arcana_start_population_descriptor	14193.82080078125
normalized_initial_population_scale	1.0
normalized_initial_genetic_diversity	0.27604712545871735
normalized_connectivity_start	0.4
engine_gene_flow_rate	0.012692194025963544
engine_selection_strength	0.0023785124868154527
normalized_environment_change	-0.11892562434077264
normalized_habitat_fraction_start	0.4
normalized_habitat_fraction_end	0.2810743756592274
seed_0	1114782693
seed_1	1114642738
seed_2	1222478282
seed_3	1071453763
