FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,535788,745542
0,1,10,2.88443e+07,2.55402e+08
0,10,100,1.18677e+07,1.45176e+08
0,100,1000,1.90913e+06,9.89579e+07
0,1000,10000,55064.5,8.07855e+07
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,3.42065e+06,3.38968e+06
2,1,10,4.00817e+07,1.61239e+08
2,10,100,1.66967e+06,3.83581e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,3.72359e+07,1.70985e+06
3,0.1,1,2.9769e+07,3.66917e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,1.64289e+06,816986
4,1,10,332825,185350
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.5278e+07,408740
5,0.01,0.1,3.21636e+07,1.228e+06
5,0.1,1,1.4842e+06,1.87726e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.39666e+06,629282
6,0.1,1,4.16819e+06,2.91135e+06
6,1,10,1.2496e+07,3.8545e+07
6,10,100,2.31275e+06,2.55802e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,3.55791e+07,1.29161e+06
7,1,10,2.14651e+07,9.57771e+07
7,10,100,6.92224e+07,3.6762e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.66573e+06,757431
8,1,10,7.68125e+06,1.54471e+07
8,10,100,188634,6.97192e+06
8,100,1000,0,0
8,1000,10000,0,0
