FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,7.06752e+06,702643
0,1,10,5.60962e+07,4.83625e+07
0,10,100,2.35755e+07,1.9665e+08
0,100,1000,4.76983e+06,8.19806e+07
0,1000,10000,42995,7.1028e+07
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,6.18361e+06,831529
2,1,10,4.20646e+07,1.48936e+07
2,10,100,5.36092e+06,3.33579e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,9.05742e+08,4.81964e+06
3,0.1,1,1.24976e+08,5.72054e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,1.66476e+06,76881.8
4,1,10,1.76665e+06,547050
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.0723e+09,641872
5,0.01,0.1,3.89468e+07,2.53195e+06
5,0.1,1,196344,200477
5,1,10,191969,239044
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.77331e+08,1.22339e+06
6,0.1,1,7.73926e+06,1.10824e+06
6,1,10,1.41961e+06,2.73302e+06
6,10,100,3.45706e+06,2.62788e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.01975e+07,496060
7,1,10,2.90911e+07,2.74402e+08
7,10,100,5.32098e+07,5.23942e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.59057e+07,828942
8,1,10,8.25752e+06,1.61845e+07
8,10,100,2.74589e+06,9.72539e+06
8,100,1000,0,0
8,1000,10000,0,0
