FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.91706e+07,2.43678e+06
0,1,10,3.66362e+08,6.78901e+08
0,10,100,1.18042e+07,3.12967e+07
0,100,1000,238210,1.27611e+08
0,1000,10000,70329.2,7.38165e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,904229,2.02949e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,7.68633e+07,4.57951e+06
2,1,10,4.71509e+08,3.54967e+08
2,10,100,1.06401e+06,3.8412e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.45984e+08,183601
3,0.01,0.1,4.65536e+07,817318
3,0.1,1,8.30851e+06,2.02082e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.03157,0.0115599
4,0.1,1,6.78973e+06,134480
4,1,10,8.18723e+07,8.76678e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.89606e+08,436058
5,0.01,0.1,9.35469e+06,310614
5,0.1,1,4.62103e+06,1.00497e+06
5,1,10,2.75063e+07,1.32936e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.15577e+07,508881
6,0.1,1,1.6436e+07,1.60451e+06
6,1,10,3.22741e+07,4.87905e+07
6,10,100,5.86614e+06,1.73601e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,7.00222e+07,2.35027e+07
7,1,10,2.62878e+08,1.43072e+08
7,10,100,4.15547e+07,8.32512e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,3.59313e+07,6.13945e+06
8,1,10,3.47399e+07,1.83204e+07
8,10,100,1.4641e+06,7.40739e+06
8,100,1000,0,0
8,1000,10000,0,0
