job_id	R42_J11_H0_LATE_CENOZOIC_MADINGLEY
engine	Madingley
runtime_steps	3
runtime_unit	years
replicate_count	4
arcana_start_population_descriptor	1304.4717354192449
normalized_initial_population_scale	1.0
normalized_initial_genetic_diversity	0.5609786564503819
normalized_connectivity_start	0.44439814814814815
engine_gene_flow_rate	0.024219907407407412
engine_selection_strength	0.0
normalized_environment_change	-0.09831309843674949
normalized_habitat_fraction_start	0.25919753086419756
normalized_habitat_fraction_end	0.25493827160493826
seed_0	388335602
seed_1	1159058904
seed_2	1115067710
seed_3	200120263
