FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,8.49256e+08,1.34663e+08
0,1,10,1.05934e+09,2.88467e+08
0,10,100,4.19312e+06,6.93288e+07
0,100,1000,208980,1.0006e+08
0,1000,10000,74947.2,6.83233e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,483579,1.12056e+07
1,100,1000,771.92,21278.1
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,9.73929e+08,4.11143e+07
2,1,10,6.82795e+08,2.28788e+08
2,10,100,956846,1.24337e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,9.06668e+07,4.34495e+06
3,0.1,1,2.03576e+08,1.64818e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.21859e+07,104946
4,0.1,1,1.95415e+07,564527
4,1,10,5.65189e+06,7.66572e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.43629e+09,343662
5,0.01,0.1,1.92276e+07,285786
5,0.1,1,5.40985e+07,6.45508e+06
5,1,10,6.36562e+07,4.78691e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,7.66881e+06,315344
6,0.1,1,2.06288e+08,1.79059e+07
6,1,10,1.44419e+08,6.39721e+07
6,10,100,2.62571e+06,1.60319e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,2.37988e+08,2.42166e+07
7,1,10,3.97736e+08,8.74358e+07
7,10,100,8.93712e+07,1.317e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,2.6472e+08,1.07189e+07
8,1,10,5.68846e+07,2.4365e+07
8,10,100,1.4566e+06,8.07057e+06
8,100,1000,0,0
8,1000,10000,0,0
