Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,30|21|11|6|3|1|,31.0|52.35890476190476|92.0|118.34783333333333|148.67466666666667|174.194|,0.0|5.659725324857599|0.0|9.516416559760765|11.413590184025745|0.0|,31.0|53.0|92.0|123.0|147.0|184.0|,30|21|11|6|3|1|,31.0|52.35890476190476|92.0|118.34783333333333|148.67466666666667|174.194|,0.0|5.659725324857599|0.0|9.516416559760765|11.413590184025745|0.0|,0|30|21|11|6|4|,0|0|0|0|0|0|,170|30|21|11|6|4|,10|0|0|0|0|2|,160|30|21|11|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,160|30|21|11|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,160|30|21|11|6|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,160|30|21|11|6|0|,31.0|31.0|52.35890476190476|92.0|118.34783333333333|nan|,0.0|0.0|5.659725324857599|0.0|9.516416559760765|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,160|30|21|11|6|0|,31.0|31.0|52.35890476190476|92.0|118.34783333333333|nan|,0.0|0.0|5.659725324857599|0.0|9.516416559760765|nan|,0|160|30|21|11|6|,0|0|0|0|0|0|,192|160|30|21|11|6|,93|89|0|5|4|2|,99|71|30|16|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,99|71|30|16|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,99|71|30|16|7|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,99|71|30|16|7|0|,31.0|31.0|31.0|52.921499999999995|92.0|nan|,0.0|0.0|0.0|5.937558999706866|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,99|71|30|16|7|0|,31.0|31.0|31.0|52.921499999999995|92.0|nan|,0.0|0.0|0.0|5.937558999706866|0.0|nan|,0|99|71|30|16|7|,0|0|0|0|0|0|,313|99|71|30|16|7|,163|52|42|17|8|4|,152|47|29|13|8|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,152|47|29|13|8|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,152|47|29|13|8|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,152|47|29|13|8|0|,31.0|31.0|31.0|31.0|53.281625|nan|,0.0|0.0|0.0|0.0|6.587025237872935|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,152|47|29|13|8|0|,31.0|31.0|31.0|31.0|53.281625|nan|,0.0|0.0|0.0|0.0|6.587025237872935|nan|,0|152|47|29|13|8|,0|0|0|0|0|0|,288|152|47|29|13|8|,175|95|10|18|2|4|,115|57|37|11|11|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,115|57|37|11|11|4|,0|0|0|0|0|0|,0|0|0|0|3|0|,115|57|37|11|8|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,115|57|37|11|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,115|57|37|11|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|115|57|37|11|8|,0|0|0|0|0|0|,282|115|57|37|11|8|,122|52|24|23|2|6|,155|63|33|14|9|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,155|63|33|14|9|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,155|63|33|14|9|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,155|63|33|14|9|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,155|63|33|14|9|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|155|63|33|14|9|,0|0|0|0|0|0|,179|155|63|33|14|9|,70|102|33|18|5|6|,112|53|30|15|9|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,112|53|30|15|9|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,112|53|30|15|9|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,112|53|30|15|9|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,112|53|30|15|9|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|112|53|30|15|9|,0|0|0|0|0|0|,256|112|53|30|15|9|,81|56|16|13|6|6|,176|56|37|17|9|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,176|56|37|17|9|3|,0|0|0|0|0|0|,0|0|0|0|2|0|,176|56|37|17|7|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,176|56|37|17|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,176|56|37|17|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|176|56|37|17|7|,0|0|0|0|0|0|,166|176|56|37|17|7|,34|124|30|23|10|4|,136|52|26|14|7|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,136|52|26|14|7|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,136|52|26|14|7|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,136|52|26|14|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,136|52|26|14|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|136|52|26|14|7|,0|0|0|0|0|0|,253|136|52|26|14|7|,86|84|12|16|6|4|,173|52|40|10|8|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,173|52|40|10|8|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,173|52|40|10|8|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,173|52|40|10|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,173|52|40|10|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|173|52|40|10|8|,0|0|0|0|0|0|,234|173|52|40|10|8|,114|119|15|28|2|4|,123|54|37|12|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,123|54|37|12|8|4|,0|0|0|0|0|0|,0|0|0|0|2|2|,123|54|37|12|6|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
