FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.45903e+08,3.87542e+07
0,1,10,2.63167e+08,3.90615e+08
0,10,100,7.45648e+06,5.00823e+07
0,100,1000,168666,1.07413e+08
0,1000,10000,65949.8,7.92672e+07
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.2703e+07,1.39535e+06
2,1,10,1.9009e+08,1.93086e+08
2,10,100,2.70895e+06,9.17642e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,690419,7844.49
3,0.01,0.1,2.28681e+07,627708
3,0.1,1,4.17297e+07,6.69519e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,1.70211e+07,398555
4,1,10,5.51053e+07,1.58302e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.79286e+06,11502.5
5,0.01,0.1,2.64452e+07,256104
5,0.1,1,3.30563e+07,2.38911e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.24958e+07,504859
6,0.1,1,3.36014e+07,1.07886e+07
6,1,10,5.42061e+07,6.34467e+07
6,10,100,7.52562e+06,3.0001e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,4.11598e+07,1.88877e+07
7,1,10,5.37352e+07,3.49228e+08
7,10,100,5.49208e+07,2.96096e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,0,0
8,1,10,1.07747e+08,6.52365e+07
8,10,100,1.87976e+06,1.33861e+07
8,100,1000,0,0
8,1000,10000,0,0
