FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,2.22444e+08,7.90485e+07
0,1,10,1.57431e+09,4.71339e+08
0,10,100,2.86889e+06,3.19049e+07
0,100,1000,179998,9.48667e+07
0,1000,10000,72159.1,7.04403e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,52606.2,821957
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.55022e+08,6.4177e+07
2,1,10,9.62681e+08,2.48233e+08
2,10,100,1.32475e+06,2.16986e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,1.48254e+08,409283
3,0.1,1,1.00834e+08,1.32159e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,462320,2090.14
4,0.1,1,5.01652e+07,2.26573e+06
4,1,10,1.57185e+07,1.18774e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,0,0
5,0.01,0.1,1.30187e+07,313894
5,0.1,1,6.62787e+07,1.15071e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.90727e+07,138063
6,0.1,1,9.07773e+07,2.1524e+07
6,1,10,1.27967e+07,3.85395e+07
6,10,100,2.98479e+06,1.982e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.38111e+09,5.3721e+07
7,1,10,1.6815e+08,1.57909e+08
7,10,100,7.02309e+07,1.25357e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.55232e+08,3.19622e+07
8,1,10,9.27505e+07,2.47962e+07
8,10,100,284827,7.46959e+06
8,100,1000,0,0
8,1000,10000,0,0
