FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,7.08819e+08,4.09726e+07
0,1,10,2.73142e+09,5.16396e+08
0,10,100,1.87888e+08,1.24876e+08
0,100,1000,2.26838e+06,9.83703e+07
0,1000,10000,69938.7,7.35537e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.58691e+06,4.46886e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.37232e+08,7.3286e+06
2,1,10,3.45811e+08,3.82254e+08
2,10,100,1.91875e+06,3.40595e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.7034e+08,202389
3,0.01,0.1,6.04795e+07,231286
3,0.1,1,1.50102e+07,2.41087e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,35394.4,190.949
4,0.1,1,3.99152e+06,418884
4,1,10,1.26567e+08,4.0912e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,0,0
5,0.01,0.1,2.78153e+07,406764
5,0.1,1,0,0
5,1,10,6.0094e+07,1.18784e+07
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.61136e+06,128941
6,0.1,1,1.62126e+07,1.43746e+06
6,1,10,1.03475e+07,3.5043e+07
6,10,100,5.87558e+06,2.22449e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,3.0865e+08,3.04545e+07
7,1,10,1.8826e+08,7.77709e+07
7,10,100,6.59793e+07,1.32432e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.12243e+08,6.65843e+06
8,1,10,2.91862e+07,2.5108e+07
8,10,100,1.46678e+06,7.13381e+06
8,100,1000,0,0
8,1000,10000,0,0
