FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.9888e+09,1.18534e+08
0,1,10,3.41532e+08,4.24871e+08
0,10,100,9.978e+07,9.99711e+07
0,100,1000,179511,9.50957e+07
0,1000,10000,72068.7,7.06365e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.63526e+06,3.37696e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,4.02429e+08,1.4453e+07
2,1,10,3.29807e+08,3.77007e+08
2,10,100,2.11928e+06,3.02619e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.37516e+07,122028
3,0.01,0.1,1.40792e+07,160898
3,0.1,1,1.73578e+07,1.81065e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,607961,3512.26
4,0.1,1,7.50257e+06,600189
4,1,10,2.15465e+08,5.90695e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,0,0
5,0.01,0.1,3.01172e+07,283763
5,0.1,1,4.35514e+07,9.53392e+06
5,1,10,1.97518e+07,2.87693e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.73313e+06,78946.3
6,0.1,1,8.30564e+06,1.37087e+06
6,1,10,1.1279e+07,3.42691e+07
6,10,100,6.09248e+06,2.03114e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.34345e+08,4.13497e+07
7,1,10,1.67576e+08,5.93764e+07
7,10,100,6.00773e+07,9.92272e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.84882e+07,6.56157e+06
8,1,10,2.50676e+07,2.11831e+07
8,10,100,1.52967e+06,6.8281e+06
8,100,1000,0,0
8,1000,10000,0,0
