Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,37|25|14|9|4|1|,31.0|52.54144|92.0|118.60666666666667|145.52425|174.194|,0.0|5.726854872126585|0.0|7.820827435622|11.290611417788673|0.0|,31.0|53.0|92.0|123.0|147.0|184.0|,37|25|14|9|4|1|,31.0|52.54144|92.0|118.60666666666667|145.52425|174.194|,0.0|5.726854872126585|0.0|7.820827435622|11.290611417788673|0.0|,0|37|25|14|9|5|,0|0|0|0|0|0|,215|37|25|14|9|5|,49|0|0|0|3|4|,165|37|25|14|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,165|37|25|14|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,165|37|25|14|6|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,165|37|25|14|6|0|,31.0|31.0|52.54144|92.0|120.60133333333333|nan|,0.0|0.0|5.726854872126585|0.0|5.594651066470147|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,165|37|25|14|6|0|,31.0|31.0|52.54144|92.0|120.60133333333333|nan|,0.0|0.0|5.726854872126585|0.0|5.594651066470147|nan|,0|165|37|25|14|6|,0|0|0|0|0|0|,187|165|37|25|14|6|,78|133|6|14|9|4|,109|32|31|11|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,109|32|31|11|5|2|,0|0|0|0|0|0|,0|0|0|0|0|1|,109|32|31|11|5|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,109|32|31|11|5|0|,31.0|31.0|31.0|53.251000000000005|92.0|nan|,0.0|0.0|0.0|5.194693376199146|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,109|32|31|11|5|0|,31.0|31.0|31.0|53.251000000000005|92.0|nan|,0.0|0.0|0.0|5.194693376199146|0.0|nan|,0|109|32|31|11|5|,0|0|0|0|0|0|,173|109|32|31|11|5|,68|59|11|23|4|3|,105|50|21|8|7|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,105|50|21|8|7|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,105|50|21|8|7|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,105|50|21|8|7|0|,31.0|31.0|31.0|31.0|51.15071428571428|nan|,0.0|0.0|0.0|0.0|4.445403427435249|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,105|50|21|8|7|0|,31.0|31.0|31.0|31.0|51.15071428571428|nan|,0.0|0.0|0.0|0.0|4.445403427435249|nan|,0|105|50|21|8|7|,0|0|0|0|0|0|,199|105|50|21|8|7|,86|58|26|6|2|5|,112|47|24|15|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,112|47|24|15|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,112|47|24|15|6|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,112|47|24|15|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,112|47|24|15|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|112|47|24|15|6|,0|0|0|0|0|0|,233|112|47|24|15|6|,126|72|22|11|10|4|,106|40|25|13|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,106|40|25|13|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,106|40|25|13|5|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,106|40|25|13|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,106|40|25|13|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|106|40|25|13|5|,0|0|0|0|0|0|,270|106|40|25|13|5|,168|60|11|12|7|3|,100|46|29|13|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,100|46|29|13|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,100|46|29|13|6|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,100|46|29|13|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,100|46|29|13|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|100|46|29|13|6|,0|0|0|0|0|0|,314|100|46|29|13|6|,190|53|22|20|8|3|,128|47|24|9|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,128|47|24|9|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,128|47|24|9|5|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,128|47|24|9|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,128|47|24|9|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|128|47|24|9|5|,0|0|0|0|0|0|,250|128|47|24|9|5|,139|90|21|11|1|3|,113|38|26|13|8|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,113|38|26|13|8|2|,0|0|0|0|0|0|,0|0|0|0|0|1|,113|38|26|13|8|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,113|38|26|13|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,113|38|26|13|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|113|38|26|13|8|,0|0|0|0|0|0|,234|113|38|26|13|8|,125|69|7|14|7|7|,108|44|31|12|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,108|44|31|12|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,108|44|31|12|6|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,108|44|31|12|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,108|44|31|12|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|108|44|31|12|6|,0|0|0|0|0|0|,195|108|44|31|12|6|,107|63|15|23|9|4|,86|45|29|8|3|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,86|45|29|8|3|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,86|45|29|8|3|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
