
  N E M O 2.4.2 [03 Aug 2026]

  Copyright (C) 2006-2026 The Authors
  This is free software; see the source for copying
  conditions. There is NO warranty; not even for 
  MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
  https://nemo2.sourceforge.io; nemo-simul@googlegroups.com
-----------------------------------------------------------
reading parameters from "Nemo2_ARCANA_R36D.ini"
setting random seed from input value: 87055698

--- SIMULATION 1/1 ---- [ arcana_r36d_c3_embeddable_high_admixture_stress__matched_no_flow_t1_s87055698 ]

    start: 28-08-2026 19:17:36
    mode: overwrite
    population: 2 stages, 4 patches, Wright-Fisher
    traits: quant(0)
    LCEs: quanti_init(1), breed_disperse(2), save_stats(3), save_files(4)
    outputs: ./{*.log, ./*.qfreq, *.txt}


    replicate 1/1 [19:17:36] 1/25001                
    replicate 1/1 [19:17:36] 1/25001
    replicate 1/1 [19:17:36] 2/25001
    replicate 1/1 [19:17:36] 3/25001
    replicate 1/1 [19:17:36] 4/25001
    replicate 1/1 [19:17:36] 5/25001
    replicate 1/1 [19:17:36] 6/25001
    replicate 1/1 [19:17:36] 7/25001
    replicate 1/1 [19:17:36] 8/25001
    replicate 1/1 [19:17:36] 9/25001
    replicate 1/1 [19:17:36] 10/25001
    replicate 1/1 [19:17:36] 11/25001
    replicate 1/1 [19:17:36] 12/25001
    replicate 1/1 [19:17:36] 13/25001
    replicate 1/1 [19:17:36] 14/25001
    replicate 1/1 [19:17:36] 15/25001
    replicate 1/1 [19:17:36] 16/25001
    replicate 1/1 [19:17:36] 17/25001
    replicate 1/1 [19:17:36] 18/25001
    replicate 1/1 [19:17:36] 19/25001
    replicate 1/1 [19:17:36] 20/25001
    replicate 1/1 [19:17:36] 21/25001
    replicate 1/1 [19:17:36] 22/25001
    replicate 1/1 [19:17:36] 23/25001
    replicate 1/1 [19:17:36] 24/25001
    replicate 1/1 [19:17:36] 25/25001
    replicate 1/1 [19:17:36] 26/25001
    replicate 1/1 [19:17:36] 27/25001
    replicate 1/1 [19:17:36] 28/25001
    replicate 1/1 [19:17:36] 29/25001
    replicate 1/1 [19:17:36] 30/25001
    replicate 1/1 [19:17:36] 31/25001
    replicate 1/1 [19:17:36] 32/25001
    replicate 1/1 [19:17:36] 33/25001
    replicate 1/1 [19:17:36] 34/25001
    replicate 1/1 [19:17:36] 35/25001
    replicate 1/1 [19:17:36] 36/25001
    replicate 1/1 [19:17:36] 37/25001
    replicate 1/1 [19:17:36] 38/25001
    replicate 1/1 [19:17:36] 39/25001
    replicate 1/1 [19:17:36] 40/25001
    replicate 1/1 [19:17:36] 41/25001
    replicate 1/1 [19:17:36] 42/25001
    replicate 1/1 [19:17:36] 43/25001
    replicate 1/1 [19:17:36] 44/25001
    replicate 1/1 [19:17:36] 45/25001
    replicate 1/1 [19:17:36] 46/25001
    replicate 1/1 [19:17:36] 47/25001
    replicate 1/1 [19:17:36] 48/25001
    replicate 1/1 [19:17:36] 49/25001
    replicate 1/1 [19:17:36] 50/25001
    replicate 1/1 [19:17:36] 51/25001
    replicate 1/1 [19:17:36] 52/25001
    replicate 1/1 [19:17:36] 53/25001
    replicate 1/1 [19:17:36] 54/25001
    replicate 1/1 [19:17:36] 55/25001
    replicate 1/1 [19:17:36] 56/25001
    replicate 1/1 [19:17:36] 57/25001
    replicate 1/1 [19:17:36] 58/25001
    replicate 1/1 [19:17:36] 59/25001
    replicate 1/1 [19:17:36] 60/25001
    replicate 1/1 [19:17:36] 61/25001
    replicate 1/1 [19:17:36] 62/25001
    replicate 1/1 [19:17:36] 63/25001
    replicate 1/1 [19:17:36] 64/25001
    replicate 1/1 [19:17:36] 65/25001
    replicate 1/1 [19:17:36] 66/25001
    replicate 1/1 [19:17:36] 67/25001
    replicate 1/1 [19:17:36] 68/25001
    replicate 1/1 [19:17:36] 69/25001
    replicate 1/1 [19:17:36] 70/25001
    replicate 1/1 [19:17:36] 71/25001
    replicate 1/1 [19:17:36] 72/25001
    replicate 1/1 [19:17:36] 73/25001
    replicate 1/1 [19:17:36] 74/25001
    replicate 1/1 [19:17:36] 75/25001
    replicate 1/1 [19:17:36] 76/25001
    replicate 1/1 [19:17:36] 77/25001
    replicate 1/1 [19:17:36] 78/25001
    replicate 1/1 [19:17:36] 79/25001
    replicate 1/1 [19:17:36] 80/25001
    replicate 1/1 [19:17:36] 81/25001
    replicate 1/1 [19:17:36] 82/25001
    replicate 1/1 [19:17:36] 83/25001
    replicate 1/1 [19:17:36] 84/25001
    replicate 1/1 [19:17:36] 85/25001
    replicate 1/1 [19:17:36] 86/25001
    replicate 1/1 [19:17:36] 87/25001
    replicate 1/1 [19:17:36] 88/25001
    replicate 1/1 [19:17:36] 89/25001
    replicate 1/1 [19:17:36] 90/25001
    replicate 1/1 [19:17:36] 91/25001
    replicate 1/1 [19:17:36] 92/25001
    replicate 1/1 [19:17:36] 93/25001
    replicate 1/1 [19:17:36] 94/25001
    replicate 1/1 [19:17:36] 95/25001
    replicate 1/1 [19:17:36] 96/25001
    replicate 1/1 [19:17:36] 97/25001
    replicate 1/1 [19:17:36] 98/25001
    replicate 1/1 [19:17:36] 99/25001
    replicate 1/1 [19:17:36] 100/25001
    replicate 1/1 [19:17:36] 200/25001
    replicate 1/1 [19:17:36] 300/25001
    replicate 1/1 [19:17:37] 400/25001
    replicate 1/1 [19:17:37] 500/25001
    replicate 1/1 [19:17:37] 600/25001
    replicate 1/1 [19:17:37] 700/25001
    replicate 1/1 [19:17:38] 800/25001
    replicate 1/1 [19:17:38] 900/25001
    replicate 1/1 [19:17:38] 1000/25001
    replicate 1/1 [19:17:38] 1100/25001
    replicate 1/1 [19:17:38] 1200/25001
    replicate 1/1 [19:17:39] 1300/25001
    replicate 1/1 [19:17:39] 1400/25001
    replicate 1/1 [19:17:39] 1500/25001
    replicate 1/1 [19:17:39] 1600/25001
    replicate 1/1 [19:17:40] 1700/25001
    replicate 1/1 [19:17:40] 1800/25001
    replicate 1/1 [19:17:40] 1900/25001
    replicate 1/1 [19:17:40] 2000/25001
    replicate 1/1 [19:17:40] 2100/25001
    replicate 1/1 [19:17:41] 2200/25001
    replicate 1/1 [19:17:41] 2300/25001
    replicate 1/1 [19:17:41] 2400/25001
    replicate 1/1 [19:17:43] 2500/25001
    replicate 1/1 [19:17:43] 2600/25001
    replicate 1/1 [19:17:43] 2700/25001
    replicate 1/1 [19:17:43] 2800/25001
    replicate 1/1 [19:17:44] 2900/25001
    replicate 1/1 [19:17:44] 3000/25001
    replicate 1/1 [19:17:44] 3100/25001
    replicate 1/1 [19:17:44] 3200/25001
    replicate 1/1 [19:17:45] 3300/25001
    replicate 1/1 [19:17:45] 3400/25001
    replicate 1/1 [19:17:45] 3500/25001
    replicate 1/1 [19:17:45] 3600/25001
    replicate 1/1 [19:17:45] 3700/25001
    replicate 1/1 [19:17:46] 3800/25001
    replicate 1/1 [19:17:46] 3900/25001
    replicate 1/1 [19:17:46] 4000/25001
    replicate 1/1 [19:17:46] 4100/25001
    replicate 1/1 [19:17:46] 4200/25001
    replicate 1/1 [19:17:46] 4300/25001
    replicate 1/1 [19:17:47] 4400/25001
    replicate 1/1 [19:17:47] 4500/25001
    replicate 1/1 [19:17:47] 4600/25001
    replicate 1/1 [19:17:47] 4700/25001
    replicate 1/1 [19:17:47] 4800/25001
    replicate 1/1 [19:17:48] 4900/25001
    replicate 1/1 [19:17:48] 5000/25001
    replicate 1/1 [19:17:48] 5100/25001
    replicate 1/1 [19:17:48] 5200/25001
    replicate 1/1 [19:17:48] 5300/25001
    replicate 1/1 [19:17:49] 5400/25001
    replicate 1/1 [19:17:49] 5500/25001
    replicate 1/1 [19:17:49] 5600/25001
    replicate 1/1 [19:17:49] 5700/25001
    replicate 1/1 [19:17:49] 5800/25001
    replicate 1/1 [19:17:49] 5900/25001
    replicate 1/1 [19:17:50] 6000/25001
    replicate 1/1 [19:17:50] 6100/25001
    replicate 1/1 [19:17:50] 6200/25001
    replicate 1/1 [19:17:50] 6300/25001
    replicate 1/1 [19:17:50] 6400/25001
    replicate 1/1 [19:17:51] 6500/25001
    replicate 1/1 [19:17:51] 6600/25001
    replicate 1/1 [19:17:51] 6700/25001
    replicate 1/1 [19:17:51] 6800/25001
    replicate 1/1 [19:17:51] 6900/25001
    replicate 1/1 [19:17:52] 7000/25001
    replicate 1/1 [19:17:52] 7100/25001
    replicate 1/1 [19:17:52] 7200/25001
    replicate 1/1 [19:17:52] 7300/25001
    replicate 1/1 [19:17:52] 7400/25001
    replicate 1/1 [19:17:52] 7500/25001
    replicate 1/1 [19:17:53] 7600/25001
    replicate 1/1 [19:17:53] 7700/25001
    replicate 1/1 [19:17:53] 7800/25001
    replicate 1/1 [19:17:53] 7900/25001
    replicate 1/1 [19:17:53] 8000/25001
    replicate 1/1 [19:17:54] 8100/25001
    replicate 1/1 [19:17:54] 8200/25001
    replicate 1/1 [19:17:54] 8300/25001
    replicate 1/1 [19:17:54] 8400/25001
    replicate 1/1 [19:17:54] 8500/25001
    replicate 1/1 [19:17:55] 8600/25001
    replicate 1/1 [19:17:55] 8700/25001
    replicate 1/1 [19:17:55] 8800/25001
    replicate 1/1 [19:17:55] 8900/25001
    replicate 1/1 [19:17:55] 9000/25001
    replicate 1/1 [19:17:55] 9100/25001
    replicate 1/1 [19:17:56] 9200/25001
    replicate 1/1 [19:17:56] 9300/25001
    replicate 1/1 [19:17:56] 9400/25001
    replicate 1/1 [19:17:56] 9500/25001
    replicate 1/1 [19:17:56] 9600/25001
    replicate 1/1 [19:17:57] 9700/25001
    replicate 1/1 [19:17:57] 9800/25001
    replicate 1/1 [19:17:57] 9900/25001
    replicate 1/1 [19:17:57] 10000/25001
    replicate 1/1 [19:17:57] 10100/25001
    replicate 1/1 [19:17:58] 10200/25001
    replicate 1/1 [19:17:58] 10300/25001
    replicate 1/1 [19:17:58] 10400/25001
    replicate 1/1 [19:17:58] 10500/25001
    replicate 1/1 [19:17:58] 10600/25001
    replicate 1/1 [19:17:59] 10700/25001
    replicate 1/1 [19:17:59] 10800/25001
    replicate 1/1 [19:17:59] 10900/25001
    replicate 1/1 [19:17:59] 11000/25001
    replicate 1/1 [19:17:59] 11100/25001
    replicate 1/1 [19:17:59] 11200/25001
    replicate 1/1 [19:18:00] 11300/25001
    replicate 1/1 [19:18:00] 11400/25001
    replicate 1/1 [19:18:00] 11500/25001
    replicate 1/1 [19:18:00] 11600/25001
    replicate 1/1 [19:18:00] 11700/25001
    replicate 1/1 [19:18:01] 11800/25001
    replicate 1/1 [19:18:01] 11900/25001
    replicate 1/1 [19:18:01] 12000/25001
    replicate 1/1 [19:18:01] 12100/25001
    replicate 1/1 [19:18:01] 12200/25001
    replicate 1/1 [19:18:02] 12300/25001
    replicate 1/1 [19:18:02] 12400/25001
    replicate 1/1 [19:18:02] 12500/25001
    replicate 1/1 [19:18:02] 12600/25001
    replicate 1/1 [19:18:02] 12700/25001
    replicate 1/1 [19:18:03] 12800/25001
    replicate 1/1 [19:18:03] 12900/25001
    replicate 1/1 [19:18:03] 13000/25001
    replicate 1/1 [19:18:03] 13100/25001
    replicate 1/1 [19:18:04] 13200/25001
    replicate 1/1 [19:18:04] 13300/25001
    replicate 1/1 [19:18:04] 13400/25001
    replicate 1/1 [19:18:04] 13500/25001
    replicate 1/1 [19:18:04] 13600/25001
    replicate 1/1 [19:18:05] 13700/25001
    replicate 1/1 [19:18:05] 13800/25001
    replicate 1/1 [19:18:05] 13900/25001
    replicate 1/1 [19:18:05] 14000/25001
    replicate 1/1 [19:18:06] 14100/25001
    replicate 1/1 [19:18:06] 14200/25001
    replicate 1/1 [19:18:06] 14300/25001
    replicate 1/1 [19:18:06] 14400/25001
    replicate 1/1 [19:18:06] 14500/25001
    replicate 1/1 [19:18:07] 14600/25001
    replicate 1/1 [19:18:07] 14700/25001
    replicate 1/1 [19:18:07] 14800/25001
    replicate 1/1 [19:18:07] 14900/25001
    replicate 1/1 [19:18:07] 15000/25001
    replicate 1/1 [19:18:08] 15100/25001
    replicate 1/1 [19:18:08] 15200/25001
    replicate 1/1 [19:18:08] 15300/25001
    replicate 1/1 [19:18:08] 15400/25001
    replicate 1/1 [19:18:08] 15500/25001
    replicate 1/1 [19:18:09] 15600/25001
    replicate 1/1 [19:18:09] 15700/25001
    replicate 1/1 [19:18:09] 15800/25001
    replicate 1/1 [19:18:09] 15900/25001
    replicate 1/1 [19:18:09] 16000/25001
    replicate 1/1 [19:18:10] 16100/25001
    replicate 1/1 [19:18:10] 16200/25001
    replicate 1/1 [19:18:10] 16300/25001
    replicate 1/1 [19:18:10] 16400/25001
    replicate 1/1 [19:18:10] 16500/25001
    replicate 1/1 [19:18:11] 16600/25001
    replicate 1/1 [19:18:11] 16700/25001
    replicate 1/1 [19:18:11] 16800/25001
    replicate 1/1 [19:18:11] 16900/25001
    replicate 1/1 [19:18:12] 17000/25001
    replicate 1/1 [19:18:12] 17100/25001
