FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.33966e+07,7.2081e+06
0,1,10,1.32046e+08,2.68684e+08
0,10,100,1.83593e+07,1.36808e+08
0,100,1000,1.93232e+06,9.71897e+07
0,1000,10000,63789.9,8.21318e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,433803,2.96447e+07
1,100,1000,3.31313,233.907
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.20689e+07,1.01332e+07
2,1,10,4.44219e+07,2.13995e+08
2,10,100,1.26337e+06,3.01029e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.44171e+07,410743
3,0.01,0.1,1.83515e+06,209754
3,0.1,1,2.08152e+07,1.09074e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,2.73663e+07,4.16148e+07
4,1,10,2.92782e+06,382613
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,9.88739e+07,635824
5,0.01,0.1,5.73137e+07,610273
5,0.1,1,1.53995e+07,7.78756e+06
5,1,10,1.24799e+06,716235
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.15382e+07,877942
6,0.1,1,2.08338e+07,1.94267e+07
6,1,10,3.1422e+07,5.01426e+07
6,10,100,3.09022e+06,2.53687e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,2.4172e+07,917886
7,1,10,5.39628e+07,2.19497e+08
7,10,100,6.89864e+07,3.99561e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,2.28209e+07,9.40334e+06
8,1,10,3.34639e+07,6.26461e+07
8,10,100,220077,7.33583e+06
8,100,1000,0,0
8,1000,10000,0,0
