Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,26|18|10|4|1|1|,31.0|52.095|92.0|120.9515|155.76|174.194|,0.0|5.728062528755541|0.0|6.783058362567729|0.0|0.0|,31.0|53.0|92.0|123.0|147.0|184.0|,26|18|10|4|1|1|,31.0|52.095|92.0|120.9515|155.76|174.194|,0.0|5.728062528755541|0.0|6.783058362567729|0.0|0.0|,0|26|18|10|4|2|,0|0|0|0|0|0|,111|26|18|10|4|2|,0|0|0|0|0|1|,111|26|18|10|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,111|26|18|10|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,111|26|18|10|4|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,111|26|18|10|4|0|,31.0|31.0|52.095|92.0|120.9515|nan|,0.0|0.0|5.728062528755541|0.0|6.783058362567729|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,111|26|18|10|4|0|,31.0|31.0|52.095|92.0|120.9515|nan|,0.0|0.0|5.728062528755541|0.0|6.783058362567729|nan|,0|111|26|18|10|4|,0|0|0|0|0|0|,119|111|26|18|10|4|,72|95|5|12|8|2|,48|16|21|6|2|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,48|16|21|6|2|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,48|16|21|6|2|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,48|16|21|6|2|0|,31.0|31.0|31.0|51.19299999999999|92.0|nan|,0.0|0.0|0.0|5.557744866400399|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,48|16|21|6|2|0|,31.0|31.0|31.0|51.19299999999999|92.0|nan|,0.0|0.0|0.0|5.557744866400399|0.0|nan|,0|48|16|21|6|2|,0|0|0|0|0|0|,90|48|16|21|6|2|,0|11|0|17|0|0|,90|37|16|4|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,90|37|16|4|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,90|37|16|4|6|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,90|37|16|4|6|0|,31.0|31.0|31.0|31.0|51.19299999999999|nan|,0.0|0.0|0.0|0.0|5.557744866400399|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,90|37|16|4|6|0|,31.0|31.0|31.0|31.0|51.19299999999999|nan|,0.0|0.0|0.0|0.0|5.557744866400399|nan|,0|90|37|16|4|6|,0|0|0|0|0|0|,186|90|37|16|4|6|,115|63|22|5|0|6|,74|27|15|11|4|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,74|27|15|11|4|0|,0|0|0|0|0|0|,0|0|0|3|0|0|,74|27|15|8|4|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,74|27|15|8|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,74|27|15|8|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|74|27|15|8|4|,0|0|0|0|0|0|,185|74|27|15|8|4|,105|38|12|7|4|3|,83|36|15|8|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,83|36|15|8|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,83|36|15|8|4|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,83|36|15|8|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,83|36|15|8|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|83|36|15|8|4|,0|0|0|0|0|0|,135|83|36|15|8|4|,57|57|21|5|4|3|,79|26|15|10|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,79|26|15|10|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,79|26|15|10|4|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,79|26|15|10|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,79|26|15|10|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|79|26|15|10|4|,0|0|0|0|0|0|,132|79|26|15|10|4|,55|50|5|9|7|3|,77|29|21|6|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,77|29|21|6|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,77|29|21|6|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,77|29|21|6|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,77|29|21|6|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|77|29|21|6|3|,0|0|0|0|0|0|,183|77|29|21|6|3|,113|49|9|16|2|1|,71|28|20|5|4|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,71|28|20|5|4|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,71|28|20|5|4|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,71|28|20|5|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,71|28|20|5|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|71|28|20|5|4|,0|0|0|0|0|0|,152|71|28|20|5|4|,77|42|8|15|0|2|,74|29|20|5|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,74|29|20|5|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,74|29|20|5|5|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,74|29|20|5|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,74|29|20|5|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|74|29|20|5|5|,0|0|0|0|0|0|,170|74|29|20|5|5|,100|45|9|14|0|4|,67|29|20|6|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,67|29|20|6|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,67|29|20|6|5|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
