job_id	R42_J09_H0_POST_CHA1_RECOVERY_CDMETAPOP
engine	CDMetaPOP
runtime_steps	5
runtime_unit	generations
replicate_count	4
arcana_start_population_descriptor	1617.1047035853792
normalized_initial_population_scale	1.0
normalized_initial_genetic_diversity	0.35
normalized_connectivity_start	0.44199074074074074
engine_gene_flow_rate	0.024099537037037037
engine_selection_strength	0.0
normalized_environment_change	-0.04036275007387083
normalized_habitat_fraction_start	0.25598765432098763
normalized_habitat_fraction_end	0.25623456790123456
seed_0	55525513
seed_1	66696762
seed_2	413622220
seed_3	72612355
