Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,52|24|7|3|2|2|,31.0|52.23679166666667|92.0|129.94866666666664|143.636|182.6735|,0.0|5.193599955547586|0.0|2.1089132008901825|4.134999999999991|0.9744999999999919|,31.0|53.0|92.0|123.0|147.0|184.0|,52|24|7|3|2|2|,31.0|52.23679166666667|92.0|129.94866666666664|143.636|182.6735|,0.0|5.193599955547586|0.0|2.1089132008901825|4.134999999999991|0.9744999999999919|,0|52|24|7|3|4|,0|0|0|0|0|0|,146|52|24|7|3|4|,50|0|0|0|0|3|,95|52|24|7|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,95|52|24|7|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,95|52|24|7|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,95|52|24|7|3|0|,31.0|31.0|52.23679166666667|92.0|129.94866666666664|nan|,0.0|0.0|5.193599955547586|0.0|2.1089132008901825|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,95|52|24|7|3|0|,31.0|31.0|52.23679166666667|92.0|129.94866666666664|nan|,0.0|0.0|5.193599955547586|0.0|2.1089132008901825|nan|,0|95|52|24|7|3|,0|0|0|0|0|0|,225|95|52|24|7|3|,88|53|29|10|0|0|,141|42|23|14|7|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,141|42|23|14|7|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,141|42|23|14|7|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,141|42|23|14|7|0|,31.0|31.0|31.0|52.829357142857134|92.0|nan|,0.0|0.0|0.0|5.707702810452641|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,141|42|23|14|7|0|,31.0|31.0|31.0|52.829357142857134|92.0|nan|,0.0|0.0|0.0|5.707702810452641|0.0|nan|,0|141|42|23|14|7|,0|0|0|0|0|0|,264|141|42|23|14|7|,148|102|18|12|9|5|,114|39|24|11|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,114|39|24|11|5|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,114|39|24|11|5|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,114|39|24|11|5|0|,31.0|31.0|31.0|31.0|53.964|nan|,0.0|0.0|0.0|0.0|3.598905555860002|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,114|39|24|11|5|0|,31.0|31.0|31.0|31.0|53.964|nan|,0.0|0.0|0.0|0.0|3.598905555860002|nan|,0|114|39|24|11|5|,0|0|0|0|0|0|,186|114|39|24|11|5|,73|66|12|16|4|2|,111|48|27|8|7|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,111|48|27|8|7|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,111|48|27|8|7|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,111|48|27|8|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,111|48|27|8|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|111|48|27|8|7|,0|0|0|0|0|0|,208|111|48|27|8|7|,94|65|21|17|1|6|,116|46|27|10|7|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,116|46|27|10|7|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,116|46|27|10|7|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,116|46|27|10|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,116|46|27|10|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|116|46|27|10|7|,0|0|0|0|0|0|,114|116|46|27|10|7|,31|77|21|15|4|6|,85|39|25|12|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,85|39|25|12|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,85|39|25|12|6|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,85|39|25|12|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,85|39|25|12|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|85|39|25|12|6|,0|0|0|0|0|0|,205|85|39|25|12|6|,119|33|11|15|6|4|,86|52|28|10|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,86|52|28|10|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,86|52|28|10|6|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,86|52|28|10|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,86|52|28|10|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|86|52|28|10|6|,0|0|0|0|0|0|,243|86|52|28|10|6|,125|36|31|18|3|4|,121|50|21|10|7|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,121|50|21|10|7|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,121|50|21|10|7|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,121|50|21|10|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,121|50|21|10|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|121|50|21|10|7|,0|0|0|0|0|0|,203|121|50|21|10|7|,85|83|27|7|4|5|,117|38|23|14|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,117|38|23|14|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,117|38|23|14|6|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,117|38|23|14|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,117|38|23|14|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|117|38|23|14|6|,0|0|0|0|0|0|,148|117|38|23|14|6|,51|81|10|12|9|3|,97|36|28|11|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,97|36|28|11|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,97|36|28|11|5|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
