job_id	R42_J16_SAPIENT_3MA_TO_200KA_SLIM
engine	SLiM
runtime_steps	60
runtime_unit	generations
replicate_count	4
arcana_start_population_descriptor	8012.512869001121
normalized_initial_population_scale	1.0
normalized_initial_genetic_diversity	0.95
normalized_connectivity_start	0.3902383680130011
engine_gene_flow_rate	0.025414302080780063
engine_selection_strength	0.004228310101889938
normalized_environment_change	-0.059452424595056896
normalized_habitat_fraction_start	0.3902383680130011
normalized_habitat_fraction_end	0.5422014485124411
seed_0	162419087
seed_1	1041058041
seed_2	1903370093
seed_3	375760264
