FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.26443e+06,1.53704e+06
0,1,10,2.32209e+07,9.17821e+07
0,10,100,2.09167e+07,1.27514e+08
0,100,1000,125953,9.67993e+07
0,1000,10000,55523.2,8.13389e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,599991,3.20836e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,6.73607e+06,1.34354e+06
2,1,10,8.03207e+07,3.75864e+08
2,10,100,1.28952e+06,2.57985e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,2.66067e+07,1.4812e+06
3,0.1,1,3.52406e+07,5.43064e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,319201,6906.99
4,1,10,1.94757e+06,1.21371e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.19642e+07,439188
5,0.01,0.1,3.87231e+07,781223
5,0.1,1,3.36093e+06,2.96987e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.10342e+07,1.1003e+06
6,0.1,1,5.5108e+06,6.42496e+06
6,1,10,5.16402e+06,1.29601e+07
6,10,100,4.08019e+06,2.44616e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.67379e+07,1.04357e+07
7,1,10,3.48589e+07,1.42615e+08
7,10,100,2.38121e+07,2.01753e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,0,0
8,1,10,1.50605e+07,2.57989e+07
8,10,100,154356,5.65449e+06
8,100,1000,0,0
8,1000,10000,0,0
