FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.74195e+09,8.14585e+07
0,1,10,4.68198e+08,1.63765e+08
0,10,100,1.56192e+07,4.7701e+07
0,100,1000,265468,1.18766e+08
0,1000,10000,74948.5,6.83083e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,740201,1.14935e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,5.4346e+08,2.80494e+07
2,1,10,2.33003e+08,3.53535e+08
2,10,100,1.36509e+06,1.7162e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,6.0594e+08,5.37237e+06
3,0.1,1,1.47425e+08,1.95681e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,1.42906e+08,4.19675e+06
4,1,10,1.27356e+07,1.63755e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.90063e+06,13449.5
5,0.01,0.1,1.52138e+06,34038.5
5,0.1,1,2.03919e+08,3.05246e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.52445e+07,419137
6,0.1,1,2.79636e+08,2.40319e+07
6,1,10,4.28014e+07,1.97136e+07
6,10,100,2.0233e+06,1.6968e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,6.92435e+08,1.6274e+08
7,1,10,2.05734e+08,6.42542e+07
7,10,100,3.67206e+07,6.60145e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,0,0
8,1,10,4.26279e+08,3.63426e+07
8,10,100,355792,8.22124e+06
8,100,1000,0,0
8,1000,10000,0,0
