FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.95202e+07,1.04017e+06
0,1,10,2.56582e+08,1.16502e+08
0,10,100,2.44059e+07,1.28055e+08
0,100,1000,4.12465e+06,8.3521e+07
0,1000,10000,48628.6,7.53964e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,3591.9,262854
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.30177e+06,631290
2,1,10,4.53767e+08,1.72844e+08
2,10,100,3.65006e+07,8.99492e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.0587e+09,1.77202e+06
3,0.01,0.1,1.71234e+08,740342
3,0.1,1,1.52852e+08,1.75009e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.40839e+06,11010.7
4,0.1,1,2.43124e+06,306642
4,1,10,5.83622e+07,2.65129e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,9.92626e+09,1.72806e+06
5,0.01,0.1,2.64442e+08,758764
5,0.1,1,530162,549440
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,7.43081e+07,819258
6,0.1,1,9.37473e+07,2.85012e+06
6,1,10,8.99777e+06,8.12104e+06
6,10,100,4.01823e+06,2.61091e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.68235e+07,1.12802e+06
7,1,10,1.60294e+08,2.52306e+08
7,10,100,9.12304e+08,6.59899e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,3.92932e+06,492655
8,1,10,1.33125e+07,5.87434e+07
8,10,100,2.96714e+06,1.56787e+07
8,100,1000,0,0
8,1000,10000,0,0
