FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.66577e+09,1.35594e+08
0,1,10,7.79947e+08,5.14736e+08
0,10,100,5.0486e+07,6.01473e+07
0,100,1000,273246,1.118e+08
0,1000,10000,77192.5,6.54361e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,477270,1.04212e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,3.66647e+09,1.54159e+08
2,1,10,8.03521e+08,2.10393e+08
2,10,100,5.20435e+06,2.14635e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,1.00454e+08,6.2864e+06
3,0.1,1,8.66564e+07,9.4791e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,8.0409e+06,47180
4,0.1,1,1.05626e+08,5.03886e+06
4,1,10,6.36955e+06,4.32344e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.30409e+08,49009.7
5,0.01,0.1,2.72969e+07,767368
5,0.1,1,7.36263e+07,6.20616e+06
5,1,10,1.13861e+08,5.70359e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.90725e+07,586063
6,0.1,1,2.28684e+07,1.45171e+07
6,1,10,1.61272e+07,3.66538e+07
6,10,100,2.50495e+06,1.46873e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,7.13958e+08,2.22268e+07
7,1,10,9.9239e+07,8.00696e+07
7,10,100,5.54605e+07,7.01738e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,2.5362e+08,1.60339e+07
8,1,10,2.45163e+07,1.21909e+07
8,10,100,1.90287e+06,7.11946e+06
8,100,1000,0,0
8,1000,10000,0,0
