Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	20785	4157	1	0	18000	300	8300
0	1	0	24690	4146	0.997114	0	18000	300	8300
0	2	0	27604	4114	0.989656	0	18000	300	8300
0	3	0	29489	4101	0.986291	0	18000	300	8300
0	4	0	31039	4093	0.984604	0	18000	300	8300
0	5	0	31940	4099	0.98581	0	18000	300	8300
0	6	0	32694	4108	0.988213	0	18000	300	8300
0	7	0	33196	4106	0.987494	0	18000	300	8300
0	8	0	33469	4107	0.987972	0	18000	300	8300
0	9	0	34038	4099	0.98581	0	18000	300	8300
0	10	0	34031	4096	0.985326	0	18000	300	8300
0	11	0	34142	4100	0.986288	0	18000	300	8300
0	12	0	34109	4097	0.985566	0	18000	300	8300
0	13	0	34296	4092	0.984364	0	18000	300	8300
0	14	0	34439	4088	0.983401	0	18000	300	8300
0	15	0	34409	4097	0.985566	0	18000	300	8300
0	16	0	34423	4088	0.983401	0	18000	300	8300
0	17	0	34540	4087	0.983161	0	18000	300	8300
0	18	0	34633	4105	0.987491	0	18000	300	8300
0	19	0	34711	4101	0.986529	0	18000	300	8300
0	20	0	34346	4094	0.985082	0	18000	300	8300
0	21	0	34291	4089	0.983642	0	18000	300	8300
0	22	0	34754	4088	0.983638	0	18000	300	8300
0	23	0	34737	4104	0.98725	0	18000	300	8300
0	24	0	34429	4093	0.984841	0	18000	300	8300
0	25	0	34386	4097	0.985566	0	18000	300	8300
0	26	0	34515	4101	0.986766	0	18000	300	8300
0	27	0	34504	4090	0.983883	0	18000	300	8300
0	28	0	34480	4104	0.987488	0	18000	300	8300
0	29	0	34884	4103	0.98701	0	18000	300	8300
0	30	0	34784	4100	0.986525	0	18000	300	8300
0	31	0	35074	4106	0.987969	0	18000	300	8300
0	32	0	34762	4109	0.988691	0	18000	300	8300
0	33	0	34882	4105	0.987729	0	18000	300	8300
0	34	0	34560	4099	0.986285	0	18000	300	8300
0	35	0	34423	4097	0.985804	0	18000	300	8300
0	36	0	34639	4095	0.985322	0	18000	300	8300
0	37	0	34647	4100	0.986525	0	18000	300	8300
0	38	0	34549	4099	0.986285	0	18000	300	8300
0	39	0	34368	4093	0.984841	0	18000	300	8300
0	40	0	34301	4088	0.983875	0	18000	300	8300
0	41	0	34297	4100	0.986525	0	18000	300	8300
0	42	0	34440	4097	0.986041	0	18000	300	8300
0	43	0	34522	4096	0.985563	0	18000	300	8300
0	44	0	34762	4095	0.98556	0	18000	300	8300
0	45	0	34773	4104	0.987488	0	18000	300	8300
0	46	0	34522	4095	0.98556	0	18000	300	8300
0	47	0	34591	4093	0.984841	0	18000	300	8300
0	48	0	34658	4101	0.987004	0	18000	300	8300
0	49	0	34531	4086	0.983157	0	18000	300	8300
0	50	0	34083	4100	0.986763	0	18000	300	8300
0	51	0	33968	4103	0.987485	0	18000	300	8300
0	52	0	34218	4114	0.990371	0	18000	300	8300
0	53	0	34450	4100	0.987	0	18000	300	8300
0	54	0	34273	4106	0.988683	0	18000	300	8300
0	55	0	34080	4101	0.987479	0	18000	300	8300
0	56	0	33749	4097	0.986753	0	18000	300	8300
0	57	0	33895	4098	0.986994	0	18000	300	8300
0	58	0	34168	4086	0.984341	0	18000	300	8300
0	59	0	34063	4075	0.981691	0	18000	300	8300
0	60	0	34286	4080	0.983133	0	18000	300	8300
0	61	0	34383	4087	0.984819	0	18000	300	8300
0	62	0	34517	4075	0.982164	0	18000	300	8300
0	63	0	34514	4081	0.983611	0	18000	300	8300
0	64	0	34052	4087	0.985294	0	18000	300	8300
0	65	0	33975	4091	0.986258	0	18000	300	8300
0	66	0	33976	4090	0.986255	0	18000	300	8300
0	67	0	33943	4096	0.987702	0	18000	300	8300
0	68	0	33948	4086	0.985528	0	18000	300	8300
0	69	0	34306	4086	0.985528	0	18000	300	8300
0	70	0	34234	4083	0.985042	0	18000	300	8300
0	71	0	34147	4090	0.986731	0	18000	300	8300
0	72	0	34025	4091	0.98721	0	18000	300	8300
0	73	0	34211	4093	0.987693	0	18000	300	8300
0	74	0	34229	4096	0.988656	0	18000	300	8300
0	75	0	34346	4089	0.986966	0	18000	300	8300
0	76	0	34764	4083	0.985756	0	18000	300	8300
0	77	0	34770	4085	0.986239	0	18000	300	8300
0	78	0	34546	4086	0.986718	0	18000	300	8300
0	79	0	34452	4093	0.988409	0	18000	300	8300
0	80	0	34250	4089	0.987681	0	18000	300	8300
0	81	0	33870	4076	0.984541	0	18000	300	8300
0	82	0	33952	4071	0.983571	0	18000	300	8300
0	83	0	33946	4071	0.983571	0	18000	300	8300
0	84	0	33970	4057	0.980425	0	18000	300	8300
0	85	0	34232	4073	0.984292	0	18000	300	8300
0	86	0	34488	4072	0.984288	0	18000	300	8300
0	87	0	34243	4070	0.983805	0	18000	300	8300
0	88	0	34382	4075	0.985251	0	18000	300	8300
0	89	0	34040	4076	0.985493	0	18000	300	8300
0	90	0	34195	4085	0.987908	0	18000	300	8300
0	91	0	34235	4077	0.985973	0	18000	300	8300
0	92	0	34183	4078	0.986454	0	18000	300	8300
0	93	0	34385	4073	0.985244	0	18000	300	8300
0	94	0	34465	4080	0.987176	0	18000	300	8300
0	95	0	34647	4082	0.98766	0	18000	300	8300
0	96	0	34529	4075	0.986205	0	18000	300	8300
0	97	0	34215	4077	0.986689	0	18000	300	8300
0	98	0	34062	4073	0.98596	0	18000	300	8300
0	99	0	34118	4077	0.986928	0	18000	300	8300
0	100	0	34235	4070	0.985472	0	18000	300	8300
0	101	0	34239	4075	0.986683	0	18000	300	8300
0	102	0	34150	4076	0.986925	0	18000	300	8300
0	103	0	33980	4077	0.987167	0	18000	300	8300
0	104	0	33868	4072	0.985956	0	18000	300	8300
0	105	0	33961	4065	0.984262	0	18000	300	8300
0	106	0	33738	4052	0.981114	0	18000	300	8300
0	107	0	33705	4056	0.982082	0	18000	300	8300
0	108	0	33603	4069	0.98523	0	18000	300	8300
0	109	0	33766	4077	0.987167	0	18000	300	8300
0	110	0	33969	4072	0.985956	0	18000	300	8300
0	111	0	33838	4073	0.986199	0	18000	300	8300
0	112	0	33865	4082	0.988378	0	18000	300	8300
0	113	0	34314	4075	0.986683	0	18000	300	8300
0	114	0	34678	4070	0.985472	0	18000	300	8300
0	115	0	34417	4073	0.986199	0	18000	300	8300
0	116	0	34556	4071	0.985714	0	18000	300	8300
0	117	0	34729	4079	0.987651	0	18000	300	8300
0	118	0	34627	4065	0.984262	0	18000	300	8300
0	119	0	34474	4073	0.986199	0	18000	300	8300
0	120	0	34256	4064	0.984019	0	18000	300	8300
0	121	0	34167	4070	0.985472	0	18000	300	8300
0	122	0	34045	4076	0.986925	0	18000	300	8300
0	123	0	33731	4059	0.982809	0	18000	300	8300
0	124	0	33714	4064	0.984019	0	18000	300	8300
0	125	0	33702	4071	0.985714	0	18000	300	8300
0	126	0	33894	4066	0.984504	0	18000	300	8300
0	127	0	33853	4063	0.983777	0	18000	300	8300
0	128	0	34013	4072	0.985956	0	18000	300	8300
0	129	0	33488	4069	0.98523	0	18000	300	8300
0	130	0	33722	4071	0.985714	0	18000	300	8300
0	131	0	33596	4077	0.987167	0	18000	300	8300
0	132	0	33641	4071	0.985714	0	18000	300	8300
0	133	0	33860	4073	0.986199	0	18000	300	8300
0	134	0	33978	4071	0.985714	0	18000	300	8200
0	135	0	34325	4069	0.98523	0	18000	300	8200
0	136	0	33810	4068	0.984988	0	18000	300	8200
0	137	0	33709	4065	0.984262	0	18000	300	8200
0	138	0	33737	4058	0.982567	0	18000	300	8200
0	139	0	34010	4064	0.984019	0	18000	300	8200
0	140	0	33887	4061	0.983293	0	18000	300	8200
