Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,86|41|27|18|6|2|,31.0|52.80968292682927|92.0|119.88572222222221|146.32766666666666|171.72050000000002|,0.0|4.957609806855071|0.0|10.108499447964872|9.41988362749538|2.473499999999987|,31.0|53.0|92.0|123.0|147.0|184.0|,86|41|27|18|6|2|,31.0|52.80968292682927|92.0|119.88572222222221|146.32766666666666|171.72050000000002|,0.0|4.957609806855071|0.0|10.108499447964872|9.41988362749538|2.473499999999987|,0|86|41|27|18|8|,0|0|0|0|0|0|,309|86|41|27|18|8|,125|0|5|8|11|4|,182|86|36|19|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,182|86|36|19|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,182|86|36|19|7|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,182|86|36|19|7|0|,31.0|31.0|53.013194444444444|92.0|118.25928571428572|nan|,0.0|0.0|4.416232436637997|0.0|7.89416749821005|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,182|86|36|19|7|0|,31.0|31.0|53.013194444444444|92.0|118.25928571428572|nan|,0.0|0.0|4.416232436637997|0.0|7.89416749821005|nan|,0|182|86|36|19|7|,0|0|0|0|0|0|,391|182|86|36|19|7|,250|136|66|22|11|4|,139|46|20|14|8|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,139|46|20|14|8|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,139|46|20|14|8|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,139|46|20|14|8|0|,31.0|31.0|31.0|53.51542857142857|92.0|nan|,0.0|0.0|0.0|4.3980964667242395|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,139|46|20|14|8|0|,31.0|31.0|31.0|53.51542857142857|92.0|nan|,0.0|0.0|0.0|4.3980964667242395|0.0|nan|,0|139|46|20|14|8|,0|0|0|0|0|0|,221|139|46|20|14|8|,50|69|1|3|6|4|,172|70|45|17|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,172|70|45|17|8|4|,0|0|0|0|0|0|,0|0|3|0|0|0|,172|70|42|17|8|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,172|70|42|17|8|0|,31.0|31.0|31.0|31.0|52.270375|nan|,0.0|0.0|0.0|0.0|3.9469785259581784|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,172|70|42|17|8|0|,31.0|31.0|31.0|31.0|52.270375|nan|,0.0|0.0|0.0|0.0|3.9469785259581784|nan|,0|172|70|42|17|8|,0|0|0|0|0|0|,431|172|70|42|17|8|,300|123|41|32|9|4|,133|49|29|10|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,133|49|29|10|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,133|49|29|10|8|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,133|49|29|10|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,133|49|29|10|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|133|49|29|10|8|,0|0|0|0|0|0|,148|133|49|29|10|8|,15|72|8|10|2|4|,133|61|41|19|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,133|61|41|19|8|4|,0|0|0|0|0|0|,0|0|0|1|0|0|,133|61|41|18|8|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,133|61|41|18|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,133|61|41|18|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|133|61|41|18|8|,0|0|0|0|0|0|,342|133|61|41|18|8|,194|69|28|32|11|4|,147|64|33|9|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,147|64|33|9|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,147|64|33|9|7|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,147|64|33|9|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,147|64|33|9|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|147|64|33|9|7|,0|0|0|0|0|0|,297|147|64|33|9|7|,161|87|30|15|0|4|,136|60|34|18|9|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,136|60|34|18|9|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,136|60|34|18|9|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,136|60|34|18|9|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,136|60|34|18|9|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|136|60|34|18|9|,0|0|0|0|0|0|,342|136|60|34|18|9|,199|74|24|20|12|5|,144|62|36|14|6|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,144|62|36|14|6|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,144|62|36|14|6|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,144|62|36|14|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,144|62|36|14|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|144|62|36|14|6|,0|0|0|0|0|0|,276|144|62|36|14|6|,111|85|27|20|7|4|,167|59|35|16|7|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,167|59|35|16|7|2|,0|0|0|0|0|0|,0|0|0|2|0|0|,167|59|35|14|7|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,167|59|35|14|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,167|59|35|14|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|167|59|35|14|7|,0|0|0|0|0|0|,258|167|59|35|14|7|,108|118|22|21|7|2|,149|49|37|14|7|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,149|49|37|14|7|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,149|49|37|14|7|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
