Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,8|3|0|0|1|0|,31.0|53.10933333333333|nan|nan|147.771|nan|,0.0|2.725470030818334|nan|nan|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,8|3|0|0|1|0|,31.0|53.10933333333333|nan|nan|147.771|nan|,0.0|2.725470030818334|nan|nan|0.0|nan|,0|8|3|0|0|1|,0|0|0|0|0|0|,20|8|3|0|0|1|,0|0|0|0|0|0|,20|8|3|0|0|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,20|8|3|0|0|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,20|8|3|0|0|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,20|8|3|0|0|0|,31.0|31.0|53.10933333333333|nan|nan|nan|,0.0|0.0|2.725470030818334|nan|nan|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,20|8|3|0|0|0|,31.0|31.0|53.10933333333333|nan|nan|nan|,0.0|0.0|2.725470030818334|nan|nan|nan|,0|20|8|3|0|0|,0|0|0|0|0|0|,31|20|8|3|0|0|,0|3|0|0|0|0|,31|17|8|3|0|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,31|17|8|3|0|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,31|17|8|3|0|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,31|17|8|3|0|0|,31.0|31.0|31.0|53.10933333333333|nan|nan|,0.0|0.0|0.0|2.725470030818334|nan|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,31|17|8|3|0|0|,31.0|31.0|31.0|53.10933333333333|nan|nan|,0.0|0.0|0.0|2.725470030818334|nan|nan|,0|31|17|8|3|0|,0|0|0|0|0|0|,87|31|17|8|3|0|,65|23|14|7|1|0|,23|8|3|1|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,23|8|3|1|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,23|8|3|1|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,23|8|3|1|2|0|,31.0|31.0|31.0|31.0|51.894999999999996|nan|,0.0|0.0|0.0|0.0|2.5920000000000023|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,23|8|3|1|2|0|,31.0|31.0|31.0|31.0|51.894999999999996|nan|,0.0|0.0|0.0|0.0|2.5920000000000023|nan|,0|23|8|3|1|2|,0|0|0|0|0|0|,15|23|8|3|1|2|,0|9|0|0|0|2|,15|14|8|3|1|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,15|14|8|3|1|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,15|14|8|3|1|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,15|14|8|3|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,15|14|8|3|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|15|14|8|3|1|,0|0|0|0|0|0|,26|15|14|8|3|1|,0|2|12|7|2|0|,26|13|2|1|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,26|13|2|1|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,26|13|2|1|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,26|13|2|1|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,26|13|2|1|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|26|13|2|1|1|,0|0|0|0|0|0|,40|26|13|2|1|1|,13|16|7|0|0|0|,28|10|6|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,28|10|6|2|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,28|10|6|2|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,28|10|6|2|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,28|10|6|2|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|28|10|6|2|1|,0|0|0|0|0|0|,45|28|10|6|2|1|,20|21|4|4|0|0|,25|7|6|2|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,25|7|6|2|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,25|7|6|2|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,25|7|6|2|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,25|7|6|2|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|25|7|6|2|2|,0|0|0|0|0|0|,51|25|7|6|2|2|,26|13|0|4|0|2|,22|12|7|2|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,22|12|7|2|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,22|12|7|2|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,22|12|7|2|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,22|12|7|2|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|22|12|7|2|2|,0|0|0|0|0|0|,42|22|12|7|2|2|,16|11|8|5|0|2|,24|11|4|2|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,24|11|4|2|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,24|11|4|2|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,24|11|4|2|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,24|11|4|2|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|24|11|4|2|2|,0|0|0|0|0|0|,70|24|11|4|2|2|,47|14|5|0|0|2|,23|10|6|4|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,23|10|6|4|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,23|10|6|4|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
