FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,4.86981e+08,7.21309e+06
0,0.1,1,2.94362e+08,6.86414e+06
0,1,10,7.50818e+08,1.45199e+08
0,10,100,2.33263e+06,1.64308e+07
0,100,1000,231205,1.90966e+07
0,1000,10000,114149,2.77503e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,8.16321e+07,3.23356e+07
1,10,100,6.35513e+07,3.80731e+08
1,100,1000,3.81279e+06,2.84257e+08
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,4.25435e+07,3.32743e+06
2,1,10,3.50973e+08,5.61734e+07
2,10,100,640632,1.4116e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.64025e+11,3.14526e+08
3,0.01,0.1,1.1095e+08,693054
3,0.1,1,1.33363e+07,308531
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,4.13782e+09,3.1644e+07
4,0.1,1,124336,112562
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.71883e+10,2.06716e+07
5,0.01,0.1,2.63812e+08,1.98951e+06
5,0.1,1,6.89131e+06,438508
5,1,10,9.24807e+06,1.87981e+07
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.46757e+07,513874
6,0.1,1,2.16724e+07,840376
6,1,10,1.46934e+08,7.27039e+07
6,10,100,2.12018e+06,1.04188e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,3.17069e+07,1.20365e+06
7,1,10,1.27138e+07,5.13121e+07
7,10,100,1.87702e+07,2.26588e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,2.07046e+07,255358
8,0.1,1,4.21354e+06,238748
8,1,10,3.22897e+07,8.65893e+07
8,10,100,1.91e+06,7.53449e+06
8,100,1000,0,0
8,1000,10000,0,0
