FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,108790,1116.15
0,0.1,1,8.02976e+07,3.25468e+07
0,1,10,3.01777e+08,3.25877e+08
0,10,100,2.90399e+07,1.18804e+08
0,100,1000,4.13076e+06,7.80965e+07
0,1000,10000,143143,1.40091e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,2.55103e+08,1.23075e+08
1,10,100,1.56231e+07,2.70226e+08
1,100,1000,1.12898e+07,3.29627e+08
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,4.38503e+06,1.57106e+06
2,1,10,3.12026e+08,2.57742e+08
2,10,100,5.14457e+07,1.30459e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.8667e+09,1.26914e+06
3,0.01,0.1,6.00105e+06,15693.9
3,0.1,1,578790,89491
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,4.35597e+06,35837.6
4,0.1,1,1.21859e+06,29876.1
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.37792e+09,385639
5,0.01,0.1,265049,11088.9
5,0.1,1,944621,153595
5,1,10,4.04317e+07,1.97809e+07
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,250426,11603
6,0.1,1,820383,193305
6,1,10,2.13809e+08,1.50509e+08
6,10,100,8.77104e+07,1.21927e+08
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,144.364,0.38095
7,0.1,1,2.48558e+06,57300
7,1,10,1.01152e+08,1.32277e+08
7,10,100,1.23381e+07,5.78645e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,536977,20983.4
8,0.1,1,940676,141192
8,1,10,2.58296e+08,2.25528e+08
8,10,100,1.01454e+07,1.29543e+07
8,100,1000,0,0
8,1000,10000,0,0
