FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,594383,9352.56
0,0.1,1,2.82589e+09,1.35006e+08
0,1,10,1.21444e+09,2.30172e+08
0,10,100,4.64544e+07,6.40385e+07
0,100,1000,8.08233e+06,6.30472e+07
0,1000,10000,156642,9.79166e+06
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,2.49638e+09,3.24418e+08
1,1,10,1.84291e+09,7.05847e+08
1,10,100,1.14759e+08,2.03522e+08
1,100,1000,2.05221e+07,9.25681e+07
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.14189e+10,5.15626e+08
2,1,10,1.35217e+09,2.62512e+08
2,10,100,1.31716e+08,1.9402e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,8.11149e+07,95969.4
3,0.01,0.1,9.23873e+07,1.21185e+06
3,0.1,1,2.4838e+09,8.54143e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.09123e+08,26055.7
4,0.01,0.1,3.4762e+09,8.82878e+07
4,0.1,1,2.90112e+09,1.30614e+08
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,7.65215e+07,107392
5,0.01,0.1,1.64198e+08,2.45091e+06
5,0.1,1,3.78066e+09,2.21726e+08
5,1,10,5.85079e+07,1.40819e+07
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.77951e+07,153645
6,0.1,1,2.9416e+09,1.65723e+08
6,1,10,6.06118e+08,1.40936e+08
6,10,100,1.21784e+08,9.1644e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.2815e+08,421595
7,0.1,1,5.34066e+09,3.24515e+08
7,1,10,8.07897e+08,2.08209e+08
7,10,100,5.97546e+07,8.2718e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.17521e+08,1.90026e+06
8,0.1,1,8.76935e+08,4.5266e+07
8,1,10,4.1107e+09,4.4874e+08
8,10,100,1.19301e+07,8.57507e+06
8,100,1000,0,0
8,1000,10000,0,0
