Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,13|7|3|1|0|0|,31.0|52.241285714285716|92.0|118.656|nan|nan|,0.0|4.65405772922283|0.0|0.0|nan|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,13|7|3|1|0|0|,31.0|52.241285714285716|92.0|118.656|nan|nan|,0.0|4.65405772922283|0.0|0.0|nan|nan|,0|13|7|3|1|0|,0|0|0|0|0|0|,17|13|7|3|1|0|,0|0|0|0|0|0|,17|13|7|3|1|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,17|13|7|3|1|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,17|13|7|3|1|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,17|13|7|3|1|0|,31.0|31.0|52.241285714285716|92.0|118.656|nan|,0.0|0.0|4.65405772922283|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,17|13|7|3|1|0|,31.0|31.0|52.241285714285716|92.0|118.656|nan|,0.0|0.0|4.65405772922283|0.0|0.0|nan|,0|17|13|7|3|1|,0|0|0|0|0|0|,65|17|13|7|3|1|,0|0|0|1|2|0|,65|17|13|6|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,65|17|13|6|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,65|17|13|6|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,65|17|13|6|1|0|,31.0|31.0|31.0|52.47666666666667|92.0|nan|,0.0|0.0|0.0|4.988232775464895|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,65|17|13|6|1|0|,31.0|31.0|31.0|52.47666666666667|92.0|nan|,0.0|0.0|0.0|4.988232775464895|0.0|nan|,0|65|17|13|6|1|,0|0|0|0|0|0|,114|65|17|13|6|1|,64|46|15|9|3|0|,49|19|2|4|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,49|19|2|4|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,49|19|2|4|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,49|19|2|4|3|0|,31.0|31.0|31.0|31.0|52.76733333333333|nan|,0.0|0.0|0.0|0.0|4.952564610605521|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,49|19|2|4|3|0|,31.0|31.0|31.0|31.0|52.76733333333333|nan|,0.0|0.0|0.0|0.0|4.952564610605521|nan|,0|49|19|2|4|3|,0|0|0|0|0|0|,99|49|19|2|4|3|,43|25|4|0|0|2|,59|24|15|2|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,59|24|15|2|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,59|24|15|2|4|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,59|24|15|2|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,59|24|15|2|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|59|24|15|2|4|,0|0|0|0|0|0|,121|59|24|15|2|4|,73|42|13|11|0|4|,47|17|11|4|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,47|17|11|4|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,47|17|11|4|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,47|17|11|4|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,47|17|11|4|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|47|17|11|4|2|,0|0|0|0|0|0|,124|47|17|11|4|2|,75|25|2|4|2|2|,49|22|15|7|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,49|22|15|7|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,49|22|15|7|2|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,49|22|15|7|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,49|22|15|7|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|49|22|15|7|2|,0|0|0|0|0|0|,128|49|22|15|7|2|,84|30|12|13|5|0|,44|19|10|2|2|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,44|19|10|2|2|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,44|19|10|2|2|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,44|19|10|2|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,44|19|10|2|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|44|19|10|2|2|,0|0|0|0|0|0|,68|44|19|10|2|2|,37|22|6|3|0|0|,31|22|13|7|2|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,31|22|13|7|2|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,31|22|13|7|2|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,31|22|13|7|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,31|22|13|7|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|31|22|13|7|2|,0|0|0|0|0|0|,90|31|22|13|7|2|,26|12|12|9|6|0|,64|19|10|4|1|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,64|19|10|4|1|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,64|19|10|4|1|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,64|19|10|4|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,64|19|10|4|1|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|64|19|10|4|1|,0|0|0|0|0|0|,71|64|19|10|4|1|,25|51|7|4|0|0|,47|13|12|6|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,47|13|12|6|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,47|13|12|6|4|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
