Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,173|89|55|33|8|2|,31.0|53.15748314606742|92.0|121.20809090909091|151.273125|171.72050000000002|,0.0|5.038854112451548|0.0|9.907609528412648|12.006653285132161|2.473499999999987|,31.0|53.0|92.0|123.0|147.0|184.0|,173|89|55|33|8|2|,31.0|53.15748314606742|92.0|121.20809090909091|151.273125|171.72050000000002|,0.0|5.038854112451548|0.0|9.907609528412648|12.006653285132161|2.473499999999987|,0|173|89|55|33|10|,0|0|0|0|0|0|,723|173|89|55|33|10|,378|0|9|19|17|3|,343|173|80|36|16|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,343|173|80|36|16|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,343|173|80|36|16|6|,0|0|0|0|0|6|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,343|173|80|36|16|0|,31.0|31.0|53.1320375|92.0|120.05631249999999|nan|,0.0|0.0|4.886024814314163|0.0|10.140737385163062|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,343|173|80|36|16|0|,31.0|31.0|53.1320375|92.0|120.05631249999999|nan|,0.0|0.0|4.886024814314163|0.0|10.140737385163062|nan|,0|343|173|80|36|16|,0|0|0|0|0|0|,858|343|173|80|36|16|,597|246|132|57|22|7|,265|97|41|23|14|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,265|97|41|23|14|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,265|97|41|23|14|9|,0|0|0|0|0|9|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,265|97|41|23|14|0|,31.0|31.0|31.0|53.165565217391304|92.0|nan|,0.0|0.0|0.0|4.544753983164085|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,265|97|41|23|14|0|,31.0|31.0|31.0|53.165565217391304|92.0|nan|,0.0|0.0|0.0|4.544753983164085|0.0|nan|,0|265|97|41|23|14|,0|0|0|0|0|0|,533|265|97|41|23|14|,243|129|5|0|5|6|,288|136|92|41|18|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,288|136|92|41|18|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,288|136|92|41|18|8|,0|0|0|0|0|8|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,288|136|92|41|18|0|,31.0|31.0|31.0|31.0|53.38|nan|,0.0|0.0|0.0|0.0|4.595518106445308|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,288|136|92|41|18|0|,31.0|31.0|31.0|31.0|53.38|nan|,0.0|0.0|0.0|0.0|4.595518106445308|nan|,0|288|136|92|41|18|,0|0|0|0|0|0|,747|288|136|92|41|18|,449|183|76|77|30|11|,295|105|60|15|11|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,295|105|60|15|11|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,295|105|60|15|11|7|,0|0|0|0|0|7|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,295|105|60|15|11|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,295|105|60|15|11|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|295|105|60|15|11|,0|0|0|0|0|0|,440|295|105|60|15|11|,141|169|27|26|0|2|,304|126|78|34|15|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,304|126|78|34|15|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,304|126|78|34|15|9|,0|0|0|0|0|9|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,304|126|78|34|15|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,304|126|78|34|15|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|304|126|78|34|15|,0|0|0|0|0|0|,694|304|126|78|34|15|,442|193|61|56|19|7|,263|111|65|22|15|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,263|111|65|22|15|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,263|111|65|22|15|8|,0|0|0|0|0|8|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,263|111|65|22|15|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,263|111|65|22|15|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|263|111|65|22|15|,0|0|0|0|0|0|,509|263|111|65|22|15|,234|135|31|37|4|7|,274|128|80|28|18|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,274|128|80|28|18|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,274|128|80|28|18|8|,0|0|0|0|0|8|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,274|128|80|28|18|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,274|128|80|28|18|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|274|128|80|28|18|,0|0|0|0|0|0|,638|274|128|80|28|18|,341|160|62|60|11|10|,300|114|66|20|17|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,300|114|66|20|17|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,300|114|66|20|17|8|,0|0|0|0|0|8|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,300|114|66|20|17|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,300|114|66|20|17|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|300|114|66|20|17|,0|0|0|0|0|0|,430|300|114|66|20|17|,161|179|39|38|4|12|,270|121|75|28|16|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,270|121|75|28|16|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,270|121|75|28|16|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,270|121|75|28|16|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,270|121|75|28|16|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|270|121|75|28|16|,0|0|0|0|0|0|,553|270|121|75|28|16|,237|143|53|51|12|8|,315|127|68|24|16|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,315|127|68|24|16|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,315|127|68|24|16|8|,0|0|0|0|0|8|,0|0|0|0|0|0|
