Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,99|51|16|10|2|2|,31.0|52.56013725490195|92.0|120.8761|143.636|182.6735|,0.0|4.6727224420434785|0.0|10.2450562658289|4.134999999999991|0.9744999999999919|,31.0|53.0|92.0|123.0|147.0|184.0|,99|51|16|10|2|2|,31.0|52.56013725490195|92.0|120.8761|143.636|182.6735|,0.0|4.6727224420434785|0.0|10.2450562658289|4.134999999999991|0.9744999999999919|,0|99|51|16|10|4|,0|0|0|0|0|0|,282|99|51|16|10|4|,46|0|0|0|0|3|,237|99|51|16|10|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,237|99|51|16|10|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,237|99|51|16|10|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,237|99|51|16|10|0|,31.0|31.0|52.56013725490196|92.0|120.8761|nan|,0.0|0.0|4.6727224420434785|0.0|10.2450562658289|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,237|99|51|16|10|0|,31.0|31.0|52.56013725490196|92.0|120.8761|nan|,0.0|0.0|4.6727224420434785|0.0|10.2450562658289|nan|,0|237|99|51|16|10|,0|0|0|0|0|0|,511|237|99|51|16|10|,262|165|50|26|4|5|,250|72|49|25|12|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,250|72|49|25|12|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,250|72|49|25|12|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,250|72|49|25|12|0|,31.0|31.0|31.0|52.32048|92.0|nan|,0.0|0.0|0.0|3.6819861175186412|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,250|72|49|25|12|0|,31.0|31.0|31.0|52.32048|92.0|nan|,0.0|0.0|0.0|3.6819861175186412|0.0|nan|,0|250|72|49|25|12|,0|0|0|0|0|0|,367|250|72|49|25|12|,147|163|26|28|13|7|,220|87|46|21|12|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,220|87|46|21|12|5|,0|0|0|0|0|0|,0|0|0|0|2|0|,220|87|46|21|10|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,220|87|46|21|10|0|,31.0|31.0|31.0|31.0|51.0366|nan|,0.0|0.0|0.0|0.0|4.646519734166636|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,220|87|46|21|10|0|,31.0|31.0|31.0|31.0|51.0366|nan|,0.0|0.0|0.0|0.0|4.646519734166636|nan|,0|220|87|46|21|10|,0|0|0|0|0|0|,405|220|87|46|21|10|,187|132|38|19|7|6|,219|88|49|27|14|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,219|88|49|27|14|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,219|88|49|27|14|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,219|88|49|27|14|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,219|88|49|27|14|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|219|88|49|27|14|,0|0|0|0|0|0|,390|219|88|49|27|14|,170|131|36|27|16|11|,220|88|52|22|11|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,220|88|52|22|11|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,220|88|52|22|11|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,220|88|52|22|11|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,220|88|52|22|11|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|220|88|52|22|11|,0|0|0|0|0|0|,405|220|88|52|22|11|,193|127|31|34|12|6|,213|93|57|18|10|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,213|93|57|18|10|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,213|93|57|18|10|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,213|93|57|18|10|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,213|93|57|18|10|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|213|93|57|18|10|,0|0|0|0|0|0|,454|213|93|57|18|10|,252|118|41|38|4|4|,203|95|52|19|14|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,203|95|52|19|14|6|,0|0|0|0|0|0|,0|0|0|1|0|1|,203|95|52|18|14|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,203|95|52|18|14|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,203|95|52|18|14|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|203|95|52|18|14|,0|0|0|0|0|0|,490|203|95|52|18|14|,249|118|42|30|7|11|,240|85|53|22|11|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,240|85|53|22|11|3|,0|0|0|0|0|0|,0|0|0|3|0|0|,240|85|53|19|11|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,240|85|53|19|11|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,240|85|53|19|11|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|240|85|53|19|11|,0|0|0|0|0|0|,361|240|85|53|19|11|,130|165|28|32|4|6|,231|75|57|21|15|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,231|75|57|21|15|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,231|75|57|21|15|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,231|75|57|21|15|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,231|75|57|21|15|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|231|75|57|21|15|,0|0|0|0|0|0|,572|231|75|57|21|15|,387|143|11|35|8|13|,187|88|64|22|13|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,187|88|64|22|13|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,187|88|64|22|13|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
