Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,195|84|48|26|5|2|,31.0|52.75840476190475|92.0|123.39803846153846|149.0606|182.6735|,0.0|4.822972971990279|0.0|11.233724724721911|8.267502515270252|0.9744999999999919|,31.0|53.0|92.0|123.0|147.0|184.0|,195|84|48|26|5|2|,31.0|52.75840476190475|92.0|123.39803846153846|149.0606|182.6735|,0.0|4.822972971990279|0.0|11.233724724721911|8.267502515270252|0.9744999999999919|,0|195|84|48|26|7|,0|0|0|0|0|0|,617|195|84|48|26|7|,298|2|7|16|11|4|,324|193|77|32|15|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,324|193|77|32|15|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,324|193|77|32|15|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,324|193|77|32|15|0|,31.0|31.0|52.61776623376624|92.0|122.59026666666665|nan|,0.0|0.0|4.767029323250485|0.0|12.165033533131844|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,324|193|77|32|15|0|,31.0|31.0|52.61776623376624|92.0|122.59026666666665|nan|,0.0|0.0|4.767029323250485|0.0|12.165033533131844|nan|,0|324|193|77|32|15|,0|0|0|0|0|0|,898|324|193|77|32|15|,627|213|161|53|16|6|,274|111|32|24|16|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,274|111|32|24|16|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,274|111|32|24|16|9|,0|0|0|0|0|9|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,274|111|32|24|16|0|,31.0|31.0|31.0|52.890375000000006|92.0|nan|,0.0|0.0|0.0|4.63018062833856|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,274|111|32|24|16|0|,31.0|31.0|31.0|52.890375000000006|92.0|nan|,0.0|0.0|0.0|4.63018062833856|0.0|nan|,0|274|111|32|24|16|,0|0|0|0|0|0|,528|274|111|32|24|16|,223|133|31|0|6|8|,308|141|80|32|18|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,308|141|80|32|18|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,308|141|80|32|18|8|,0|0|0|0|0|8|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,308|141|80|32|18|0|,31.0|31.0|31.0|31.0|53.233888888888885|nan|,0.0|0.0|0.0|0.0|4.981534378625937|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,308|141|80|32|18|0|,31.0|31.0|31.0|31.0|53.233888888888885|nan|,0.0|0.0|0.0|0.0|4.981534378625937|nan|,0|308|141|80|32|18|,0|0|0|0|0|0|,698|308|141|80|32|18|,428|200|85|59|15|12|,261|108|56|21|17|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,261|108|56|21|17|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,261|108|56|21|17|6|,0|0|0|0|0|6|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,261|108|56|21|17|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,261|108|56|21|17|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|261|108|56|21|17|,0|0|0|0|0|0|,525|261|108|56|21|17|,235|119|28|19|4|10|,289|142|80|37|17|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,289|142|80|37|17|7|,0|0|0|0|0|0|,0|0|0|0|3|0|,289|142|80|37|14|7|,0|0|0|0|0|7|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,289|142|80|37|14|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,289|142|80|37|14|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|289|142|80|37|14|,0|0|0|0|0|0|,760|289|142|80|37|14|,491|166|83|56|24|7|,265|123|59|24|13|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,265|123|59|24|13|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,265|123|59|24|13|7|,0|0|0|0|0|7|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,265|123|59|24|13|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,265|123|59|24|13|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|265|123|59|24|13|,0|0|0|0|0|0|,594|265|123|59|24|13|,290|130|49|27|9|6|,307|135|74|32|15|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,307|135|74|32|15|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,307|135|74|32|15|7|,0|0|0|0|0|7|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,307|135|74|32|15|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,307|135|74|32|15|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|307|135|74|32|15|,0|0|0|0|0|0|,765|307|135|74|32|15|,492|191|74|46|20|8|,277|116|61|28|12|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,277|116|61|28|12|7|,0|0|0|0|0|0|,0|0|0|1|0|0|,277|116|61|27|12|7|,0|0|0|0|0|7|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,277|116|61|27|12|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,277|116|61|27|12|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|277|116|61|27|12|,0|0|0|0|0|0|,700|277|116|61|27|12|,417|152|43|25|11|2|,284|125|73|36|16|10|,0|0|0|0|0|0|,0|0|0|0|0|0|,284|125|73|36|16|10|,0|0|0|0|0|0|,0|0|0|0|0|0|,284|125|73|36|16|10|,0|0|0|0|0|10|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,284|125|73|36|16|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,284|125|73|36|16|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|284|125|73|36|16|,0|0|0|0|0|0|,629|284|125|73|36|16|,337|167|60|48|23|9|,296|117|65|25|13|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,296|117|65|25|13|7|,0|0|0|0|0|0|,0|0|0|0|3|0|,296|117|65|25|10|7|,0|0|0|0|0|7|,0|0|0|0|0|0|
