Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,99|51|16|10|2|2|,31.0|52.56013725490195|92.0|120.8761|143.636|182.6735|,0.0|4.6727224420434785|0.0|10.2450562658289|4.134999999999991|0.9744999999999919|,31.0|53.0|92.0|123.0|147.0|184.0|,99|51|16|10|2|2|,31.0|52.56013725490195|92.0|120.8761|143.636|182.6735|,0.0|4.6727224420434785|0.0|10.2450562658289|4.134999999999991|0.9744999999999919|,0|99|51|16|10|4|,0|0|0|0|0|0|,296|99|51|16|10|4|,120|1|7|0|0|4|,182|98|44|16|10|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,182|98|44|16|10|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,182|98|44|16|10|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,182|98|44|16|10|0|,31.0|31.0|52.41806818181819|92.0|120.8761|nan|,0.0|0.0|4.76362911405373|0.0|10.2450562658289|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,182|98|44|16|10|0|,31.0|31.0|52.41806818181819|92.0|120.8761|nan|,0.0|0.0|4.76362911405373|0.0|10.2450562658289|nan|,0|182|98|44|16|10|,0|0|0|0|0|0|,537|182|98|44|16|10|,412|135|80|36|8|6|,124|47|18|8|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,124|47|18|8|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,124|47|18|8|8|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,124|47|18|8|8|0|,31.0|31.0|31.0|51.304874999999996|92.0|nan|,0.0|0.0|0.0|5.447391358198434|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,124|47|18|8|8|0|,31.0|31.0|31.0|51.304874999999996|92.0|nan|,0.0|0.0|0.0|5.447391358198434|0.0|nan|,0|124|47|18|8|8|,0|0|0|0|0|0|,200|124|47|18|8|8|,53|42|0|0|0|4|,147|82|47|18|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,147|82|47|18|8|4|,0|0|0|0|0|0|,0|0|0|1|0|0|,147|82|47|17|8|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,147|82|47|17|8|0|,31.0|31.0|31.0|31.0|51.304874999999996|nan|,0.0|0.0|0.0|0.0|5.447391358198434|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,147|82|47|17|8|0|,31.0|31.0|31.0|31.0|51.304874999999996|nan|,0.0|0.0|0.0|0.0|5.447391358198434|nan|,0|147|82|47|17|8|,0|0|0|0|0|0|,355|147|82|47|17|8|,213|87|60|40|9|4|,149|60|22|7|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,149|60|22|7|8|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,149|60|22|7|8|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,149|60|22|7|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,149|60|22|7|8|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|149|60|22|7|8|,0|0|0|0|0|0|,217|149|60|22|7|8|,96|87|14|7|0|6|,119|62|46|15|7|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,119|62|46|15|7|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,119|62|46|15|7|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,119|62|46|15|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,119|62|46|15|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|119|62|46|15|7|,0|0|0|0|0|0|,220|119|62|46|15|7|,37|60|28|41|6|2|,183|59|34|5|9|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,183|59|34|5|9|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,183|59|34|5|9|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,183|59|34|5|9|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,183|59|34|5|9|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|183|59|34|5|9|,0|0|0|0|0|0|,296|183|59|34|5|9|,145|136|20|15|0|6|,153|47|39|19|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,153|47|39|19|5|3|,0|0|0|0|0|0|,0|0|0|1|0|0|,153|47|39|18|5|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,153|47|39|18|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,153|47|39|18|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|153|47|39|18|5|,0|0|0|0|0|0|,438|153|47|39|18|5|,297|93|3|25|12|2|,139|60|44|14|6|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,139|60|44|14|6|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,139|60|44|14|6|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,139|60|44|14|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,139|60|44|14|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|139|60|44|14|6|,0|0|0|0|0|0|,392|139|60|44|14|6|,256|74|24|35|7|2|,132|65|36|9|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,132|65|36|9|7|4|,0|0|0|0|0|0|,0|0|0|0|0|0|,132|65|36|9|7|4|,0|0|0|0|0|4|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,132|65|36|9|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,132|65|36|9|7|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|132|65|36|9|7|,0|0|0|0|0|0|,316|132|65|36|9|7|,170|66|32|22|0|2|,146|66|33|14|9|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,146|66|33|14|9|5|,0|0|0|0|0|0|,0|0|0|0|0|0|,146|66|33|14|9|5|,0|0|0|0|0|5|,0|0|0|0|0|0|
