job_id	R42_J04_H0_PRE_CHA1_MADINGLEY
engine	Madingley
runtime_steps	3
runtime_unit	years
replicate_count	4
arcana_start_population_descriptor	1643.2737482941457
normalized_initial_population_scale	1.0
normalized_initial_genetic_diversity	0.5606327380998439
normalized_connectivity_start	0.44199074074074074
engine_gene_flow_rate	0.024099537037037037
engine_selection_strength	0.0
normalized_environment_change	-0.01058410896513658
normalized_habitat_fraction_start	0.25598765432098763
normalized_habitat_fraction_end	0.25598765432098763
seed_0	1081350395
seed_1	1913936439
seed_2	1179722647
seed_3	1287608194
