FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,2.18238e+07,7.2437e+06
0,1,10,5.165e+07,8.61712e+07
0,10,100,1.22964e+07,5.0592e+07
0,100,1000,148946,1.02114e+08
0,1000,10000,64001.8,8.24415e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.29228e+06,8.08886e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.61335e+07,1.38464e+07
2,1,10,8.56695e+07,1.75698e+08
2,10,100,1.27386e+06,2.82187e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,1.62385e+07,1.17859e+06
3,0.1,1,2.16014e+07,1.66151e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,374.83,1.60427
4,0.1,1,1.3196e+07,1.60325e+06
4,1,10,1.28489e+07,2.92418e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.34329e+08,2.29547e+06
5,0.01,0.1,3.48143e+07,610749
5,0.1,1,1.5673e+07,1.0328e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.03679e+06,595963
6,0.1,1,2.4931e+07,1.44721e+07
6,1,10,3.57545e+07,4.82451e+07
6,10,100,2.32269e+06,1.98765e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,2.93337e+07,1.65257e+07
7,1,10,6.10606e+07,2.89729e+08
7,10,100,6.26009e+07,5.18063e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.8899e+07,3.7764e+06
8,1,10,2.24278e+07,2.07286e+07
8,10,100,1.02496e+06,8.0052e+06
8,100,1000,0,0
8,1000,10000,0,0
