Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,15|7|0|1|1|0|,31.0|53.254857142857155|nan|130.595|147.771|nan|,0.0|5.796533383437563|nan|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,15|7|0|1|1|0|,31.0|53.254857142857155|nan|130.595|147.771|nan|,0.0|5.796533383437563|nan|0.0|0.0|nan|,0|15|7|0|1|1|,0|0|0|0|0|0|,8|15|7|0|1|1|,0|0|0|0|0|0|,8|15|7|0|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,8|15|7|0|1|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,8|15|7|0|1|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,8|15|7|0|1|0|,31.0|31.0|53.254857142857155|nan|130.595|nan|,0.0|0.0|5.796533383437563|nan|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,8|15|7|0|1|0|,31.0|31.0|53.254857142857155|nan|130.595|nan|,0.0|0.0|5.796533383437563|nan|0.0|nan|,0|8|15|7|0|1|,0|0|0|0|0|0|,89|8|15|7|0|1|,17|0|0|0|0|0|,73|8|15|7|0|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,73|8|15|7|0|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,73|8|15|7|0|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,73|8|15|7|0|0|,31.0|31.0|31.0|53.254857142857155|nan|nan|,0.0|0.0|0.0|5.796533383437563|nan|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,73|8|15|7|0|0|,31.0|31.0|31.0|53.254857142857155|nan|nan|,0.0|0.0|0.0|5.796533383437563|nan|nan|,0|73|8|15|7|0|,0|0|0|0|0|0|,160|73|8|15|7|0|,111|55|0|12|4|0|,49|18|8|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,49|18|8|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,49|18|8|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,49|18|8|3|3|0|,31.0|31.0|31.0|31.0|51.852|nan|,0.0|0.0|0.0|0.0|2.6693798280999017|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,49|18|8|3|3|0|,31.0|31.0|31.0|31.0|51.852|nan|,0.0|0.0|0.0|0.0|2.6693798280999017|nan|,0|49|18|8|3|3|,0|0|0|0|0|0|,134|49|18|8|3|3|,83|23|7|5|0|2|,48|26|11|3|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,48|26|11|3|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,48|26|11|3|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,48|26|11|3|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,48|26|11|3|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|48|26|11|3|3|,0|0|0|0|0|0|,146|48|26|11|3|3|,94|27|16|5|0|2|,50|21|10|6|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,50|21|10|6|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,50|21|10|6|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,50|21|10|6|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,50|21|10|6|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|50|21|10|6|3|,0|0|0|0|0|0|,167|50|21|10|6|3|,116|27|9|5|4|2|,51|23|12|5|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,51|23|12|5|2|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,51|23|12|5|2|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,51|23|12|5|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,51|23|12|5|2|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|51|23|12|5|2|,0|0|0|0|0|0|,71|51|23|12|5|2|,26|34|14|8|2|0|,44|17|9|4|3|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,44|17|9|4|3|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,44|17|9|4|3|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,44|17|9|4|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,44|17|9|4|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|44|17|9|4|3|,0|0|0|0|0|0|,63|44|17|9|4|3|,30|22|1|4|0|2|,32|22|16|5|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,32|22|16|5|4|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,32|22|16|5|4|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,32|22|16|5|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,32|22|16|5|4|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|32|22|16|5|4|,0|0|0|0|0|0|,103|32|22|16|5|4|,55|10|13|13|2|4|,47|22|9|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,47|22|9|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,47|22|9|3|3|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,47|22|9|3|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,47|22|9|3|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|47|22|9|3|3|,0|0|0|0|0|0|,41|47|22|9|3|3|,0|26|12|2|0|2|,41|21|10|7|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,41|21|10|7|3|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,41|21|10|7|3|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
