job_id	R42_J23_PRODUCER_20KA_TO_0_RANGESHIFTER
engine	RangeShifter
runtime_steps	10
runtime_unit	years
replicate_count	4
arcana_start_population_descriptor	1.0
normalized_initial_population_scale	1.0
normalized_initial_genetic_diversity	0.31780727207660675
normalized_connectivity_start	0.31780727207660675
engine_gene_flow_rate	0.0210684363245964
engine_selection_strength	0.0
normalized_environment_change	0.0
normalized_habitat_fraction_start	0.5
normalized_habitat_fraction_end	0.5
seed_0	732920388
seed_1	298927478
seed_2	1851954729
seed_3	1269645923
