Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.02064e+08,1.32635e+09,9.72158e+08,8.67221e+07,2.18927e+08,2.38366e+08,3.98456e+08,6.15863e+08,5.04482e+08
2, 1,3.99234e+08,1.63812e+09,5.40135e+08,870753,9.44038e+07,2.94173e+07,2.10295e+08,3.00263e+08,2.94574e+08
3, 1,3.28762e+08,1.5255e+09,2.96786e+08,796237,847475,1.73788e+06,9.49494e+07,1.5249e+08,5.79965e+07
4, 1,2.93484e+08,1.04003e+09,2.74231e+08,2.6702e+06,177591,349453,5.97888e+07,1.18464e+08,1.71355e+07
5, 1,3.22219e+08,6.39043e+08,2.82851e+08,8.44174e+06,153430,486602,6.86515e+07,1.05518e+08,1.82094e+07
6, 1,2.13698e+08,5.1384e+08,1.88205e+08,1.96456e+07,198573,731917,7.78135e+07,5.96272e+07,1.57621e+07
7, 1,1.92574e+08,4.41484e+08,1.37973e+08,9.54197e+07,350534,1.93183e+06,8.67965e+07,5.22426e+07,1.78337e+07
8, 1,1.79911e+08,2.74726e+08,8.45466e+07,2.71442e+08,699727,3.10115e+06,9.36809e+07,4.54017e+07,1.95277e+07
9, 1,1.66584e+08,1.63577e+08,4.63188e+07,5.20179e+08,1.23029e+06,3.93543e+06,7.45229e+07,4.03765e+07,2.11004e+07
10, 1,1.57308e+08,2.40274e+07,3.71115e+07,6.92072e+08,2.25095e+06,7.29953e+06,6.34269e+07,3.72633e+07,2.26966e+07
11, 1,1.70118e+08,1.66028e+07,3.64722e+07,8.44833e+08,2.3827e+06,1.4047e+07,6.41646e+07,3.49156e+07,2.44397e+07
