FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.36386e+07,1.45758e+07
0,1,10,1.29862e+08,2.57804e+08
0,10,100,2.07829e+07,9.27655e+07
0,100,1000,131397,9.34846e+07
0,1000,10000,64466,8.3099e+07
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.26835e+07,7.52323e+06
2,1,10,1.03286e+08,2.54483e+08
2,10,100,1.22418e+06,2.37287e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,3.17778e+07,2.65514e+06
3,0.1,1,1.59305e+08,8.21327e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,6.28929e+06,425522
4,1,10,1.07238e+07,5.02152e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,5.39097e+08,992309
5,0.01,0.1,5.28587e+07,749365
5,0.1,1,1.05753e+07,6.33284e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.49754e+07,1.66399e+06
6,0.1,1,3.11952e+07,2.04743e+07
6,1,10,3.57377e+07,4.7016e+07
6,10,100,2.29149e+06,2.20883e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,5.95635e+07,3.12144e+06
7,1,10,9.15644e+07,3.13336e+08
7,10,100,5.92247e+07,4.06405e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,3.78109e+07,1.06109e+07
8,1,10,1.96213e+07,2.46788e+07
8,10,100,218229,8.39254e+06
8,100,1000,0,0
8,1000,10000,0,0
