FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.35547e+08,1.3171e+07
0,1,10,6.4863e+08,5.53738e+08
0,10,100,6.55663e+07,1.77396e+08
0,100,1000,2.85801e+06,1.05445e+08
0,1000,10000,68497.2,7.72983e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,304190,1.05579e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.49232e+08,1.93609e+07
2,1,10,1.91859e+08,2.44625e+08
2,10,100,1.01477e+07,3.69558e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,5.31192e+07,1.07146e+06
3,0.1,1,5.35026e+07,1.20696e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,3.23027e+07,1.15617e+06
4,1,10,1.45187e+07,4.91719e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.69767e+08,297538
5,0.01,0.1,1.0801e+06,29128.1
5,0.1,1,1.52953e+07,5.43149e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,5.96046e+07,1.08167e+06
6,0.1,1,3.38064e+07,1.09173e+07
6,1,10,4.11641e+07,3.12489e+07
6,10,100,3.03962e+06,2.50793e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,3.60154e+07,2.0019e+06
7,1,10,2.93065e+08,2.44828e+08
7,10,100,1.20367e+08,3.62198e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.57731e+07,2.16686e+06
8,1,10,3.07513e+07,2.35248e+07
8,10,100,1.59737e+06,8.55829e+06
8,100,1000,0,0
8,1000,10000,0,0
