index,relative_year,absolute_age_ma,PAR_fraction,temperature_anomaly_c,NPP_multiplier,extinction_pressure_index,atmospheric_CO2_ppm,plant_state,herbivore_state,mesopredator_state,apex_state,alive_species
0,-100000.0,66.1,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
1,-50000.0,66.05,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
2,-25000.0,66.025,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
3,-10000.0,66.01,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
4,-5000.0,66.005,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
5,-2000.0,66.002,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
6,-1000.0,66.001,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
7,-500.0,66.0005,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
8,-250.0,66.00025,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
9,-100.0,66.0001,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
10,-50.0,66.00005,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
11,-25.0,66.000025,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
12,-10.0,66.00001,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
13,-5.0,66.000005,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
14,-2.0,66.000002,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
15,-1.0,66.000001,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
16,-0.1,66.0000001,1.0,0.0,1.0,0.0,650.0,1.0,1.0,1.0,1.0,305
17,0.0,66.0,0.0030275547453758,-16.0,0.0055720068149199,0.9812281358795112,862.2641509433962,1.0,1.0,1.0,1.0,305
18,0.01,65.99999999,0.0031808327064871,-15.856592895823772,0.0058289939695832,0.981058517281962,862.2641332547176,0.9958044160597569,0.9999818248046354,0.9999999967554015,0.9999999999999649,303
19,0.010199372733502587,65.99999998980063,0.00318509124376137,-15.8541088476056,0.005835837679874792,0.9810544244814347,862.2641329020537,0.9957209595240226,0.9999810945050635,0.999999996557676,0.999999999999962,303
20,0.010402720415691603,65.99999998959728,0.003189438703122275,-15.85157525793723,0.005842821546816889,0.9810502480484089,862.2641325423585,0.9956358469293516,0.9999803348956766,0.999999996347906,0.9999999999999589,303
21,0.010610122296205563,65.99999998938988,0.003193877018857348,-15.848991138880038,0.005849948513842151,0.9810459862335486,862.264132175492,0.9955490455796517,0.9999795448022657,0.9999999961253585,0.9999999999999556,303
22,0.010821659204704688,65.99999998917833,0.0031984081702944923,-15.84635548281667,0.005857221589047814,0.9810416372493377,862.2641318013112,0.9954605221390863,0.9999787230037095,0.9999999958892554,0.9999999999999519,303
23,0.011037413582372233,65.99999998896259,0.003203034182959248,-15.843667262061032,0.005864643846724336,0.9810371992691862,862.2641314196702,0.9953702426194416,0.9999778682301077,0.9999999956387715,0.9999999999999479,303
24,0.011257469514043847,65.99999998874253,0.0032077571297654704,-15.840925428460764,0.005872218428924062,0.9810326704265124,862.2641310304205,0.9952781723620739,0.9999769791608479,0.9999999953730315,0.9999999999999437,303
