FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,4.5527e+07,2.25582e+06
0,1,10,3.5832e+08,3.06529e+08
0,10,100,1.97877e+07,1.12784e+08
0,100,1000,4.22402e+06,8.40629e+07
0,1000,10000,48713.5,7.58381e+07
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.88279e+06,808447
2,1,10,2.61321e+08,1.19196e+08
2,10,100,1.8985e+07,5.30335e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,5.5871e+07,515421
3,0.1,1,6.56995e+07,1.7019e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,3.13292e+06,155366
4,1,10,4.63569e+06,194366
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.79974e+08,425546
5,0.01,0.1,1.1603e+08,565543
5,0.1,1,1.74729e+06,1.49732e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,8.3509e+07,889883
6,0.1,1,2.45648e+07,1.52689e+06
6,1,10,1.02319e+07,3.23215e+07
6,10,100,3.68745e+06,2.17363e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,2.16161e+07,722297
7,1,10,3.81294e+07,4.76873e+07
7,10,100,6.75897e+07,5.81351e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.52537e+06,258427
8,1,10,1.21434e+07,3.63916e+07
8,10,100,1.23215e+06,4.88097e+06
8,100,1000,0,0
8,1000,10000,0,0
