Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,69|30|11|6|2|2|,31.0|52.2104|92.0|123.40966666666667|143.636|182.6735|,0.0|4.859932932321872|0.0|9.165064387238216|4.134999999999991|0.9744999999999919|,31.0|53.0|92.0|123.0|147.0|184.0|,69|30|11|6|2|2|,31.0|52.2104|92.0|123.40966666666667|143.636|182.6735|,0.0|4.859932932321872|0.0|9.165064387238216|4.134999999999991|0.9744999999999919|,0|69|30|11|6|4|,0|0|0|0|0|0|,219|69|30|11|6|4|,120|0|0|0|0|3|,97|69|30|11|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,97|69|30|11|6|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,97|69|30|11|6|0|,0|0|0|0|0|0|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,97|69|30|11|6|0|,31.0|31.0|52.2104|92.0|123.40966666666664|nan|,0.0|0.0|4.859932932321871|0.0|9.165064387238218|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,97|69|30|11|6|0|,31.0|31.0|52.2104|92.0|123.40966666666664|nan|,0.0|0.0|4.859932932321871|0.0|9.165064387238218|nan|,0|97|69|30|11|6|,0|0|0|0|0|0|,398|97|69|30|11|6|,310|54|59|24|6|3|,90|43|10|6|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,90|43|10|6|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,90|43|10|6|5|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,90|43|10|6|5|0|,31.0|31.0|31.0|52.523666666666664|92.0|nan|,0.0|0.0|0.0|3.104347793373388|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,90|43|10|6|5|0|,31.0|31.0|31.0|52.523666666666664|92.0|nan|,0.0|0.0|0.0|3.104347793373388|0.0|nan|,0|90|43|10|6|5|,0|0|0|0|0|0|,156|90|43|10|6|5|,44|44|17|0|0|2|,113|46|26|10|6|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,113|46|26|10|6|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,113|46|26|10|6|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,113|46|26|10|6|0|,31.0|31.0|31.0|31.0|52.523666666666664|nan|,0.0|0.0|0.0|0.0|3.104347793373388|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,113|46|26|10|6|0|,31.0|31.0|31.0|31.0|52.523666666666664|nan|,0.0|0.0|0.0|0.0|3.104347793373388|nan|,0|113|46|26|10|6|,0|0|0|0|0|0|,233|113|46|26|10|6|,141|80|27|19|5|3|,97|33|19|7|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,97|33|19|7|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,97|33|19|7|5|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,97|33|19|7|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,97|33|19|7|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|97|33|19|7|5|,0|0|0|0|0|0|,183|97|33|19|7|5|,95|57|2|8|2|2|,88|40|31|11|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,88|40|31|11|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,88|40|31|11|5|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,88|40|31|11|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,88|40|31|11|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|88|40|31|11|5|,0|0|0|0|0|0|,202|88|40|31|11|5|,104|47|18|26|6|2|,92|41|22|5|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,92|41|22|5|5|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,92|41|22|5|5|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,92|41|22|5|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,92|41|22|5|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|92|41|22|5|5|,0|0|0|0|0|0|,192|92|41|22|5|5|,90|48|17|9|0|4|,102|44|24|13|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,102|44|24|13|5|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,102|44|24|13|5|1|,0|0|0|0|0|1|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,102|44|24|13|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,102|44|24|13|5|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|102|44|24|13|5|,0|0|0|0|0|0|,216|102|44|24|13|5|,152|68|25|16|10|2|,64|34|19|8|3|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,64|34|19|8|3|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,64|34|19|8|3|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,64|34|19|8|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,64|34|19|8|3|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|64|34|19|8|3|,0|0|0|0|0|0|,139|64|34|19|8|3|,50|24|11|11|2|0|,85|40|23|8|6|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,85|40|23|8|6|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,85|40|23|8|6|3|,0|0|0|0|0|3|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,85|40|23|8|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,85|40|23|8|6|0|,31.0|31.0|31.0|31.0|31.0|nan|,0.0|0.0|0.0|0.0|0.0|nan|,0|85|40|23|8|6|,0|0|0|0|0|0|,176|85|40|23|8|6|,76|41|18|14|2|4|,102|44|22|9|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,102|44|22|9|6|2|,0|0|0|0|0|0|,0|0|0|0|0|0|,102|44|22|9|6|2|,0|0|0|0|0|2|,0|0|0|0|0|0|
