FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,3.77113e+07,168635
0,0.1,1,9.69672e+07,1.12912e+06
0,1,10,1.17481e+08,3.60172e+07
0,10,100,527732,1.69565e+07
0,100,1000,297328,1.9185e+07
0,1000,10000,241988,4.51029e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.57514e+08,3.60553e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,8.22453e+06,162686
2,1,10,9.38801e+06,2.77113e+07
2,10,100,3.34001e+06,1.85629e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.0191e+12,2.36686e+08
3,0.01,0.1,1.74278e+08,611602
3,0.1,1,1.51423e+07,103285
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,3.34958e+07,165245
4,0.1,1,1.49441e+07,370896
4,1,10,111022,41453.3
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.06806e+10,9.58083e+06
5,0.01,0.1,1.07584e+08,1.91902e+06
5,0.1,1,1.51478e+07,95606.9
5,1,10,463486,634069
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,2.70614e+06,61180.4
6,0.1,1,7.94909e+06,400881
6,1,10,3.9491e+06,1.82337e+07
6,10,100,3.51253e+06,1.8871e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,3.56556e+07,528053
7,1,10,1.9032e+07,3.30731e+07
7,10,100,269249,8.92748e+06
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.24153e+07,90722.8
8,0.1,1,6.36425e+06,137666
8,1,10,4.73779e+06,2.01629e+07
8,10,100,5.61002e+06,1.81773e+07
8,100,1000,0,0
8,1000,10000,0,0
