FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,805865,52031.7
0,0.1,1,3.03786e+06,434328
0,1,10,9.06221e+06,5.74789e+07
0,10,100,7.00073e+06,8.58853e+07
0,100,1000,491540,1.86853e+07
0,1000,10000,271072,3.48613e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,3.26706e+07,6.19526e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,233494,126571
2,1,10,1.53672e+07,4.2166e+07
2,10,100,1.99404e+07,1.05978e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.88681e+10,6.90237e+07
3,0.01,0.1,7.21282e+06,409589
3,0.1,1,248961,110925
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,375794,90246.4
4,0.1,1,523854,124331
4,1,10,130281,38094.8
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,5.49368e+08,8.27634e+06
5,0.01,0.1,9.89172e+07,465732
5,0.1,1,317207,92068.5
5,1,10,511452,448004
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,881793,16289.4
6,0.1,1,2.79773e+06,220143
6,1,10,1.66918e+07,5.02949e+07
6,10,100,1.67069e+07,8.02658e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,998977,275899
7,1,10,2.89112e+07,5.29211e+07
7,10,100,1.02222e+06,2.01227e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,306934,67005.2
8,0.1,1,368587,123675
8,1,10,1.12431e+07,3.49926e+07
8,10,100,6.88189e+06,1.59319e+07
8,100,1000,0,0
8,1000,10000,0,0
