FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,601629,127037
0,0.1,1,1.85821e+06,875117
0,1,10,3.95116e+06,3.35157e+07
0,10,100,714930,1.8796e+07
0,100,1000,354544,1.94341e+07
0,1000,10000,250515,4.14568e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.40994e+07,4.24214e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,176129,148187
2,1,10,9.39663e+06,3.5779e+07
2,10,100,3.7332e+06,2.48462e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.41739e+10,1.88875e+08
3,0.01,0.1,5.1755e+06,581744
3,0.1,1,176819,109103
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,265019,164053
4,0.1,1,361297,408714
4,1,10,115056,39291.7
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,3.66933e+08,8.87677e+06
5,0.01,0.1,9.19455e+07,1.38814e+06
5,0.1,1,214629,100996
5,1,10,478132,562996
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,823754,39555
6,0.1,1,2.36517e+06,343589
6,1,10,6.67582e+06,2.67636e+07
6,10,100,4.67095e+06,2.2093e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,766461,413092
7,1,10,2.12654e+07,3.76134e+07
7,10,100,374733,1.0479e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,196336,88516.3
8,0.1,1,270840,129645
8,1,10,5.90658e+06,2.25822e+07
8,10,100,6.02968e+06,1.74267e+07
8,100,1000,0,0
8,1000,10000,0,0
