trait_local_index	arcana_trait_axis	locus	additive_effect_a
0	0	0	0.058051238480005748
0	0	1	0.058051238480005748
0	0	2	0.058051238480005748
0	0	3	0.058051238480005748
0	0	4	0.058051238480005748
0	0	5	0.058051238480005748
0	0	6	0.058051238480005748
0	0	7	0.058051238480005748
0	0	8	0.058051238480005748
0	0	9	0.058051238480005748
0	0	10	0.058051238480005748
0	0	11	0.058051238480005748
0	0	12	0.058051238480005748
0	0	13	0.058051238480005748
0	0	14	0.058051238480005748
0	0	15	0.058051238480005748
0	0	16	0.058051238480005748
0	0	17	0.058051238480005748
0	0	18	0.058051238480005748
0	0	19	0.058051238480005748
0	0	20	0.058051238480005748
0	0	21	0.058051238480005748
0	0	22	0.058051238480005748
0	0	23	0.058051238480005748
0	0	24	0.058051238480005748
0	0	25	0.058051238480005748
0	0	26	0.058051238480005748
0	0	27	0.058051238480005748
0	0	28	0.058051238480005748
0	0	29	0.058051238480005748
0	0	30	0.058051238480005748
0	0	31	0.058051238480005748
1	1	0	0.056856592574130095
1	1	1	0.056856592574130095
1	1	2	0.056856592574130095
1	1	3	0.056856592574130095
1	1	4	0.056856592574130095
1	1	5	0.056856592574130095
1	1	6	0.056856592574130095
1	1	7	0.056856592574130095
1	1	8	0.056856592574130095
1	1	9	0.056856592574130095
1	1	10	0.056856592574130095
1	1	11	0.056856592574130095
1	1	12	0.056856592574130095
1	1	13	0.056856592574130095
1	1	14	0.056856592574130095
1	1	15	0.056856592574130095
1	1	16	0.056856592574130095
1	1	17	0.056856592574130095
1	1	18	0.056856592574130095
1	1	19	0.056856592574130095
1	1	20	0.056856592574130095
1	1	21	0.056856592574130095
1	1	22	0.056856592574130095
1	1	23	0.056856592574130095
1	1	24	0.056856592574130095
1	1	25	0.056856592574130095
1	1	26	0.056856592574130095
1	1	27	0.056856592574130095
1	1	28	0.056856592574130095
1	1	29	0.056856592574130095
1	1	30	0.056856592574130095
1	1	31	0.056856592574130095
