FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,2.73932e+07,2.61232e+06
0,1,10,2.71082e+08,1.38739e+08
0,10,100,1.11641e+07,6.4478e+07
0,100,1000,3.83657e+06,7.15472e+07
0,1000,10000,42708.9,7.04749e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,94694.4,8.00645e+06
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.79118e+06,1.11072e+06
2,1,10,2.61304e+08,1.53792e+08
2,10,100,7.26807e+06,1.15707e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,2.81697e+09,9.69898e+06
3,0.1,1,1.00973e+08,2.4468e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,3.38929e+06,248805
4,1,10,3.24296e+06,683591
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,5.07449e+09,3.96744e+06
5,0.01,0.1,6.10694e+07,992070
5,0.1,1,6.49738e+07,1.61877e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,8.01784e+07,1.18318e+06
6,0.1,1,3.22677e+06,3.34786e+06
6,1,10,4.5714e+07,2.09881e+07
6,10,100,2.95281e+06,3.08528e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,6.09278e+07,3.1192e+06
7,1,10,6.19132e+08,1.59206e+08
7,10,100,2.79655e+07,3.04801e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,3.39433e+06,834000
8,1,10,1.55922e+07,3.85439e+07
8,10,100,6.00171e+06,1.40342e+07
8,100,1000,0,0
8,1000,10000,0,0
